Vehicle_ID,Crash_ID,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit
V71,20241163,No,No,No,100
V72,20243143,No,No,No,100
V73,20241222,No,No,No,100
V74,20241218,No,No,No,110
V75,20243249,No,No,No,100
V76,20243098,No,No,No,80
V77,20241306,No,No,No,60
V78,20243037,No,No,No,50
V79,20244083,No,No,No,60
V80,20241196,No,No,No,60
V81,20244028,No,No,No,100
V82,20243038,No,No,No,100
V83,20242023,No,No,Yes,70
V84,20242230,No,No,No,100
V85,20242127,No,No,No,80
V86,20242120,No,No,No,100
V87,20241106,No,No,No,60
V88,20241230,No,No,No,70
V89,20241055,No,No,No,50
V90,20241267,No,No,No,50
V91,20242260,No,No,No,80
V92,20242057,No,No,No,100
V93,20243153,No,No,Yes,100
V94,20242161,No,No,No,60
V95,20241236,No,No,No,80
V96,20243172,No,No,No,10
V97,20241188,No,No,No,100
V98,20243191,No,No,No,100
V99,20241256,No,No,No,100
V100,20242019,No,No,No,100
V101,20243008,Yes,No,No,80
V102,20243001,No,No,No,80
V103,20243041,No,No,No,100
V104,20244021,No,No,No,60
V105,20243113,No,No,No,60
V106,20241107,No,No,No,100
V107,20243022,No,No,No,60
V108,20248002,No,No,No,80
V109,20242088,No,No,No,80
V110,20241173,No,No,Yes,110
V111,20241004,No,No,No,50
V112,20246004,No,Yes,Yes,110
V113,20241201,No,No,No,50
V114,20241029,No,No,No,80
V115,20243005,No,No,No,60
V116,20241261,No,No,No,90
V117,20244024,No,No,No,80
V118,20241215,No,No,No,100
V119,20243186,No,No,No,80
V120,20243208,No,No,No,40
V121,20241134,No,No,No,80
V122,20243040,No,Yes,Yes,60
V123,20241263,No,No,No,50
V124,20241302,No,No,No,110
V125,20241147,No,No,No,50
V126,20243248,No,No,No,70
V127,20243096,No,No,No,50
V128,20241150,Yes,No,No,50
V129,20241247,No,No,Yes,100
V130,20241234,No,No,No,100
V131,20242110,No,No,No,80
V132,20242052,No,Yes,No,70
V133,20243247,No,No,No,100
V134,20243144,No,No,Yes,100
V135,20241235,No,No,Yes,80
V136,20243087,No,No,No,100
V137,20244061,No,No,No,110
V138,20241009,No,No,No,80
V139,20241072,No,No,No,60
V140,20243129,No,No,Yes,100
V141,20242219,No,Yes,No,100
V142,20241219,No,No,No,80
V143,20244010,No,No,No,100
V144,20244040,No,No,No,50
V145,20243171,No,No,No,100
V146,20242075,No,No,No,80
V147,20243079,No,No,No,100
V148,20241045,No,No,No,50
V149,20243017,No,No,Yes,100
V150,20241160,No,Yes,No,50
V151,20241081,No,No,Yes,100
V152,20241135,No,No,No,100
V153,20241209,No,No,Yes,110
V154,20242140,No,Yes,No,100
V155,20242142,No,No,No,100
V156,20243107,No,No,No,80
V157,20243020,No,No,No,60
V158,20241151,No,No,No,100
V159,20243158,No,No,Yes,100
V160,20241286,No,No,No,80
V161,20243102,No,No,No,80
V162,20241303,No,No,No,100
V163,20246029,No,No,No,50
V164,20248005,No,No,No,80
V165,20244018,No,No,No,110
V166,20241060,No,No,No,80
V167,20242022,No,Yes,No,60
V168,20241037,No,No,No,70
V169,20241257,No,No,No,50
V170,20241128,No,No,No,100
V171,20243089,No,No,No,60
V172,20242181,No,No,No,100
V173,20243082,No,No,Yes,100
V174,20243150,No,No,No,100
V175,20243170,No,No,No,60
V176,20243239,No,No,No,100
V177,20242040,No,No,Yes,100
V178,20243084,No,No,No,80
V179,20241030,No,No,No,80
V180,20243127,No,Yes,No,80
V181,20243003,No,No,No,100
V182,20243266,No,No,No,60
V183,20241042,No,No,No,80
V184,20243121,No,No,No,100
V185,20241175,No,No,No,50
V186,20243072,No,No,No,80
V187,20244057,No,No,No,90
V188,20241091,No,No,No,110
V189,20243201,No,No,No,100
V190,20242135,No,No,No,100
V191,20243225,No,No,No,80
V192,20241167,No,No,No,50
V193,20244060,No,No,No,100
V194,20241268,No,No,No,100
V195,20244013,No,No,No,60
V196,20243235,No,No,No,90
V197,20244059,No,No,No,110
V198,20241266,No,No,No,80
V199,20243131,No,No,No,60
V200,20242080,No,No,No,100
V201,20241287,No,No,No,100
V202,20241152,No,No,No,100
V203,20243161,No,No,No,100
V204,20242042,No,No,No,80
V205,20243210,No,No,No,60
V206,20244025,No,No,No,110
V207,20243088,No,No,No,50
V208,20241211,Yes,No,No,70
V209,20242007,No,No,No,100
V210,20241204,No,No,No,80
V211,20244062,No,No,No,80
V212,20241137,No,No,No,110
V213,20243117,No,No,No,60
V214,20242081,No,No,No,60
V215,20243206,No,No,No,60
V216,20248003,No,No,No,70
V217,20244032,No,No,No,110
V218,20241153,No,No,No,60
V219,20242138,No,No,No,100
V220,20243198,No,No,No,100
V221,20242107,No,No,No,40
V222,20243080,No,No,No,100
V223,20242204,No,No,No,80
V224,20242139,No,No,No,50
V225,20241103,No,No,No,80
V226,20242129,No,No,No,100
V227,20244027,No,No,No,80
V228,20243006,No,No,No,50
V229,20243108,No,No,No,100
V230,20243212,No,No,No,70
V231,20241237,No,No,No,50
V232,20241052,No,No,No,100
V233,20241308,No,No,No,50
V234,20246027,No,No,No,50
V235,20244072,No,No,No,50
V236,20241195,No,No,No,80
V237,20244043,No,No,No,50
V238,20241102,No,No,No,60
V239,20243194,No,No,No,60
V240,20243070,No,Yes,No,100
V241,20243165,No,No,No,80
V242,20241063,No,No,No,70
V243,20241132,Yes,No,No,60
V244,20241292,No,No,No,60
V245,20241189,No,No,No,100
V246,20241233,No,No,No,110
V247,20242115,No,No,No,100
V248,20242167,No,No,No,60
V249,20241016,No,No,No,100
V250,20243234,No,No,No,60
V251,20246025,No,No,No,80
V252,20241220,No,No,No,80
V253,20241034,No,No,No,50
V254,20242012,No,No,No,50
V255,20243009,No,No,No,60
V256,20241269,No,No,No,50
V257,20242093,No,No,No,50
V258,20242176,No,No,No,100
V259,20242255,No,No,No,100
V260,20241066,No,No,No,90
V261,20242175,No,No,No,100
V262,20243207,No,No,No,60
V263,20242029,No,No,No,60
V264,20241246,No,No,No,80
V265,20241078,No,No,No,70
V266,20243064,No,No,No,100
V267,20241013,No,No,No,100
V268,20246019,No,No,No,80
V269,20242257,No,No,No,50
V270,20241138,No,No,No,50
V271,20244014,No,No,No,40
V272,20244069,No,No,No,60
V273,20242053,No,No,No,100
V274,20243111,No,No,No,100
V275,20243067,No,No,No,100
V276,20242186,No,Yes,No,80
V277,20242250,No,No,No,60
V278,20243167,No,No,No,70
V279,20243106,No,No,No,70
V280,20242098,No,No,No,60
V281,20241179,No,No,No,80
V282,20242070,No,No,No,80
V283,20243261,No,No,Yes,100
V284,20243227,No,No,No,100
V285,20242243,No,No,No,50
V286,20242102,No,No,No,60
V287,20241109,No,No,No,100
V288,20243187,No,No,No,60
V289,20241301,No,No,No,80
V290,20243135,No,Yes,No,100
V291,20241248,No,No,No,60
V292,20243268,No,No,No,100
V293,20242071,No,No,No,60
V294,20241020,No,No,No,100
V295,20241294,No,No,No,60
V296,20241304,No,No,No,80
V297,20242123,No,No,No,60
V298,20242144,No,No,No,60
V299,20241199,No,No,No,80
V300,20243066,No,No,No,50
V301,20243233,No,No,Yes,100
V302,20243203,No,No,No,100
V303,20242209,No,No,No,100
V304,20242056,No,No,No,70
V305,20242130,No,No,No,100
V306,20243109,No,No,No,100
V307,20243010,No,No,No,100
V308,20243181,No,No,No,100
V309,20246018,No,Yes,Yes,80
V310,20241071,No,No,No,60
V311,20241186,No,No,No,70
V312,20243078,No,No,No,70
V313,20241223,No,No,No,50
V314,20241221,No,No,No,60
V315,20241143,No,No,No,100
V316,20243242,No,No,No,100
V317,20242189,No,No,No,50
V318,20242170,No,Yes,No,60
V319,20243043,No,Yes,No,80
V320,20241140,No,No,No,100
V321,20244063,No,No,No,110
V322,20241131,No,No,No,100
V323,20242172,No,No,No,60
V324,20241111,No,No,No,80
V325,20242055,No,No,No,60
V326,20241017,No,No,No,50
V327,20244067,No,No,No,40
V328,20246024,No,No,No,100
V329,20241254,No,No,No,80
V330,20243011,No,No,No,80
V331,20246011,No,No,No,80
V332,20242177,No,No,No,80
V333,20241127,No,No,No,50
V334,20241210,No,No,No,100
V335,20242132,No,No,No,100
V336,20242184,No,No,No,80
V337,20241253,No,No,No,100
V338,20243024,No,No,No,80
V339,20242224,No,No,No,60
V340,20243031,No,No,No,50
V341,20242069,No,No,No,60
V342,20243156,No,No,No,60
V343,20242251,No,No,No,60
V344,20244034,No,No,No,80
V345,20242090,No,No,No,100
V346,20243231,No,No,No,100
V347,20242194,No,No,No,100
V348,20243142,No,No,No,100
V349,20242043,No,Yes,No,50
V350,20243124,No,Yes,No,100
V351,20244007,No,No,No,80
V352,20242060,No,No,No,60
V353,20243104,No,No,No,60
V354,20244041,No,No,No,110
V355,20246026,No,No,No,70
V356,20243021,No,No,Yes,100
V357,20242155,No,No,No,100
V358,20242032,No,Yes,No,40
V359,20241285,No,No,No,70
V360,20244066,No,No,No,110
V361,20242064,No,No,No,60
V362,20242164,No,No,No,60
V363,20244035,No,No,No,100
V364,20243018,No,No,No,80
V365,20242086,No,No,No,80
V366,20243217,No,Yes,No,60
V367,20243251,No,No,Yes,100
V368,20243058,No,No,No,100
V369,20244046,No,No,No,100
V370,20243085,No,No,No,60
V371,20244039,No,No,No,100
V372,20243240,No,No,No,100
V373,20246002,No,No,No,100
V374,20242099,No,No,No,100
V375,20243063,No,No,No,60
V376,20241176,No,No,No,80
V377,20247022,No,Yes,No,130
V378,20241086,No,No,No,70
V379,20241224,No,No,No,80
V380,20241265,No,No,No,100
V381,20241202,No,No,No,50
V382,20246023,No,Yes,Yes,60
V383,20241293,No,No,Yes,110
V384,20241299,No,No,No,100
V385,20244078,No,No,No,50
V386,20243164,No,Yes,No,60
V387,20242201,No,No,No,100
V388,20241307,No,No,No,100
V389,20242074,No,No,No,100
V390,20241243,No,No,Yes,110
V391,20247034,No,No,No,60
V392,20241260,No,No,No,70
V393,20243004,No,No,No,80
V394,20246014,No,No,No,80
V395,20242024,No,No,Yes,60
V396,20243169,No,No,No,70
V397,20243081,No,No,No,100
V398,20242169,No,No,No,100
V399,20241110,No,No,No,50
V400,20241082,No,No,No,60
V401,20241159,No,No,No,100
V402,20246022,No,No,No,50
V403,20241229,No,No,No,80
V404,20242026,No,No,No,60
V405,20242268,No,Yes,No,80
V406,20242238,No,No,No,50
V407,20242122,No,No,No,60
V408,20241046,No,No,No,100
V409,20243192,No,No,No,100
V410,20241032,No,No,No,80
V411,20241031,No,No,No,80
V412,20243254,No,No,No,60
V413,20243133,No,No,No,100
V414,20241203,No,No,No,100
V415,20243118,No,No,No,60
V416,20243173,No,No,No,80
V417,20243199,No,No,No,40
V418,20244003,No,No,No,60
V419,20241298,No,No,Yes,50
V420,20242112,No,No,No,100
V421,20243092,No,Yes,No,100
V422,20243042,No,No,No,60
V423,20244005,No,No,No,100
V424,20243178,No,No,No,60
V425,20244050,No,No,No,50
V426,20241208,No,No,Yes,100
V427,20242259,No,No,Yes,100
V428,20242212,No,No,No,50
V429,20243019,No,No,No,60
V430,20241036,No,No,No,90
V431,20242226,No,No,No,50
V432,20247007,No,No,No,110
V433,20243074,Yes,No,No,60
V434,20241003,No,No,No,100
V435,20241277,No,No,No,100
V436,20241249,No,No,No,50
V437,20242020,No,No,No,60
V438,20242108,No,No,No,60
V439,20243120,No,No,Yes,60
V440,20242187,No,No,No,100
V441,20243116,No,No,Yes,100
V442,20242133,No,No,No,60
V443,20241092,No,No,No,60
V444,20242121,No,No,No,60
V445,20243214,No,No,Yes,100
V446,20241118,No,No,No,100
V447,20243157,No,No,No,70
V448,20241190,No,No,Yes,80
V449,20241097,No,No,No,100
V450,20242265,No,No,No,100
V451,20241250,No,No,No,70
V452,20242200,No,Yes,No,100
V453,20242234,No,No,No,100
V454,20242048,No,No,No,70
V455,20242003,No,No,No,80
V456,20243252,No,No,No,80
V457,20243061,No,No,No,100
V458,20242162,No,No,No,80
V459,20244071,No,No,No,80
V460,20241047,No,No,No,50
V461,20241205,No,No,No,60
V462,20241024,No,No,No,60
V463,20242096,No,No,No,80
V464,20242240,No,No,No,60
V465,20243139,Yes,No,No,40
V466,20243075,No,No,No,70
V467,20244051,No,No,No,60
V468,20241070,No,No,No,100
V469,20244079,No,No,No,50
V470,20243051,No,No,No,100
V471,20242237,No,No,No,80
V472,20243148,No,No,No,100
V473,20242157,No,No,No,60
V474,20244022,No,No,No,80
V475,20241142,No,No,No,80
V476,20241124,No,No,No,100
V477,20241010,No,Yes,Yes,110
V478,20241252,No,No,No,80
V479,20243155,No,No,No,60
V480,20243163,No,No,No,100
V481,20243269,No,No,No,80
V482,20243056,No,No,No,60
V483,20243049,No,No,No,40
V484,20243103,No,No,No,10
V485,20242233,No,No,No,50
V486,20243014,No,No,No,100
V487,20241198,No,No,No,70
V488,20242249,No,No,No,70
V489,20243154,Yes,No,No,100
V490,20241100,No,No,No,50
V491,20241074,No,No,No,80
V492,20243263,No,No,Yes,100
V493,20242016,No,No,No,70
V494,20244017,No,No,No,90
V495,20244009,No,No,No,50
V496,20242085,No,No,No,60
V497,20244012,No,No,No,110
V498,20243205,No,No,No,80
V499,20241035,No,No,No,50
V500,20241161,No,No,No,60
V501,20241062,No,No,No,80
V502,20243119,No,No,No,70
V503,20241155,No,No,No,60
V504,20243152,No,No,No,80
V505,20243053,No,No,Yes,60
V506,20241039,No,No,No,80
V507,20242154,No,No,No,110
V508,20243215,No,No,No,80
V509,20243026,No,No,No,60
V510,20241050,No,Yes,No,80
V511,20243271,No,No,Yes,100
V512,20241133,No,No,No,100
V513,20248008,No,Yes,No,60
V514,20244037,No,No,No,50
V515,20242143,No,No,No,40
V516,20241273,No,No,No,50
V517,20242067,No,No,No,100
V518,20242214,No,No,No,80
V519,20243238,No,No,No,100
V520,20242011,No,No,No,60
V521,20241180,No,No,No,50
V522,20241059,No,No,No,50
V523,20241021,No,No,No,60
V524,20242254,No,No,No,80
V525,20243256,No,Yes,No,50
V526,20241245,No,No,No,80
V527,20243126,No,No,No,80
V528,20244082,No,No,No,100
V529,20241108,No,No,No,60
V530,20242137,No,No,No,70
V531,20241005,No,No,No,60
V532,20241051,No,No,No,100
V533,20243128,No,No,No,80
V534,20242109,No,No,No,60
V535,20241116,No,No,No,70
V536,20243226,No,No,No,100
V537,20242092,No,No,No,80
V538,20242125,No,No,No,60
V539,20244077,No,No,No,50
V540,20242049,No,No,No,40
V541,20243265,No,No,No,50
V542,20243122,No,No,No,60
V543,20243151,No,No,No,10
V544,20241283,No,No,No,100
V545,20242262,No,No,No,60
V546,20242100,No,No,No,100
V547,20242211,No,No,No,60
V548,20241168,No,No,No,70
V549,20241162,No,No,No,100
V550,20241073,No,No,No,100
V551,20243097,No,No,Yes,80
V552,20242182,No,No,Yes,100
V553,20243123,No,No,No,60
V554,20242044,No,No,No,100
V555,20241120,No,No,Yes,110
V556,20242266,No,No,No,80
V557,20241048,No,No,No,70
V558,20243023,No,No,No,70
V559,20243137,No,Yes,No,100
V560,20241200,No,No,No,60
V561,20242151,No,No,No,70
V562,20242223,No,No,Yes,100
V563,20241259,No,No,No,110
V564,20241264,No,No,No,50
V565,20243086,No,No,No,80
V566,20242215,No,No,No,40
V567,20246012,No,No,No,60
V568,20244068,No,No,No,100
V569,20241296,No,No,No,60
V570,20241006,No,No,No,70
V571,20241258,No,No,No,50
V572,20241290,No,No,No,110
V573,20241056,No,No,No,110
V574,20242014,No,No,No,80
V575,20241251,No,No,No,80
V576,20243076,No,No,No,100
V577,20243162,No,No,No,100
V578,20242027,No,No,No,70
V579,20243029,No,No,No,80
V580,20242179,No,No,No,60
V581,20244080,No,No,No,100
V582,20242241,No,No,No,100
V583,20244047,No,No,No,100
V584,20241041,No,No,No,110
V585,20241165,No,No,No,100
V586,20242077,No,No,No,60
V587,20242078,No,No,No,80
V588,20242017,No,No,No,60
V589,20243223,No,No,No,60
V590,20241271,No,Yes,No,60
V591,20242217,No,No,No,80
V592,20242245,No,No,No,100
V593,20241170,No,No,No,80
V594,20242199,No,No,No,100
V595,20241177,No,No,No,100
V596,20246015,No,No,No,40
V597,20242165,No,No,No,100
V598,20241011,No,No,No,60
V599,20243260,No,No,No,70
V600,20241083,No,No,Yes,110
V601,20246006,No,Yes,No,110
V602,20244058,No,No,No,100
V603,20243218,No,Yes,No,80
V604,20241089,No,No,No,50
V605,20243146,No,No,No,100
V606,20241295,No,No,No,50
V607,20243264,No,No,No,100
V608,20241136,No,No,No,110
V609,20241281,No,Yes,No,100
V610,20241076,No,No,No,50
V611,20244073,No,No,No,110
V612,20242094,No,No,No,100
V613,20241058,No,No,No,100
V614,20241019,No,No,No,80
V615,20241275,No,No,No,100
V616,20243222,No,No,No,60
V617,20241065,Yes,No,No,110
V618,20243094,Yes,No,No,70
V619,20243145,No,No,No,100
V620,20241305,No,No,No,60
V621,20242146,No,No,No,60
V622,20241231,No,No,No,100
V623,20241145,No,No,No,60
V624,20241228,No,No,No,100
V625,20243030,No,No,No,100
V626,20243034,No,No,No,100
V627,20242058,No,No,No,80
V628,20241085,No,No,No,100
V629,20243091,No,No,No,100
V630,20243184,No,No,No,60
V631,20242104,No,No,No,80
V632,20248004,No,No,No,60
V633,20242101,No,No,No,110
V634,20243195,No,No,No,100
V635,20243055,No,No,No,90
V636,20241212,No,No,No,50
V637,20241241,No,No,No,50
V638,20243071,No,No,No,110
V639,20241171,No,No,No,100
V640,20243193,No,No,No,110
V641,20244011,No,No,Yes,110
V642,20242225,No,No,No,100
V643,20242160,No,No,No,100
V644,20241183,No,Yes,No,80
V645,20241025,No,Yes,Yes,100
V646,20241079,No,No,No,80
V647,20246010,No,No,No,100
V648,20242235,No,No,No,100
V649,20242113,No,No,Yes,100
V650,20242025,No,No,No,100
V651,20241148,No,No,No,50
V652,20241262,No,No,No,60
V653,20241172,No,No,No,70
V654,20242192,No,No,No,100
V655,20241014,No,No,No,100
V656,20242191,No,Yes,No,70
V657,20243189,No,No,No,100
V658,20244033,No,No,No,110
V659,20241206,No,No,Yes,60
V660,20243069,No,No,No,50
V661,20243188,No,No,No,60
V662,20241130,Yes,No,No,80
V663,20241178,No,No,No,70
V664,20248011,No,No,No,80
V665,20241043,No,No,Yes,100
V666,20244054,No,No,No,60
V667,20243032,No,No,No,60
V668,20244015,No,No,No,100
V669,20243112,No,No,Yes,100
V670,20243253,No,No,No,80
V671,20246028,No,No,No,100
V672,20242244,No,No,Yes,100
V673,20244006,No,No,No,60
V674,20241154,No,No,No,60
V675,20241146,No,No,No,70
V676,20242009,No,No,No,100
V677,20241217,No,No,No,110
V678,20242030,No,No,No,100
V679,20243025,No,Yes,No,60
V680,20242168,No,No,No,60
V681,20246021,No,No,No,80
V682,20241238,No,No,No,100
V683,20241158,Yes,No,No,70
V684,20243228,Yes,No,No,40
V685,20242210,No,No,No,100
V686,20242253,No,No,No,110
V687,20242256,No,No,No,100
V688,20241289,No,No,No,100
V689,20243045,No,No,Yes,80
V690,20242028,No,No,No,100
V691,20243054,No,No,No,70
V692,20241187,No,No,No,110
V693,20246007,No,No,No,100
V694,20241126,No,Yes,No,100
V695,20244049,No,No,No,60
V696,20242021,No,No,No,110
V697,20242045,No,No,No,80
V698,20243101,No,No,No,70
V699,20242206,No,No,No,100
V700,20242117,No,No,No,100
V701,20241226,No,No,Yes,80
V702,20242079,No,No,No,100
V703,20241156,No,No,Yes,100
V704,20243093,No,No,No,60
V705,20243125,No,No,No,60
V706,20243134,No,No,No,50
V707,20242239,No,No,No,100
V708,20241232,No,No,No,100
V709,20241061,No,No,No,50
V710,20244056,No,No,No,110
V711,20242039,No,No,No,100
V712,20241182,No,No,No,80
V713,20241044,No,No,No,110
V714,20242131,No,No,No,100
V715,20244031,No,No,No,110
V716,20242059,No,No,No,60
V717,20242033,No,No,No,60
V718,20241207,No,No,No,100
V719,20243033,No,No,No,100
V720,20242159,No,No,No,60
V721,20243177,No,No,No,80
V722,20243241,No,No,No,90
V723,20243132,No,No,No,60
V724,20243159,No,No,No,50
V725,20242072,No,No,No,40
V726,20243028,No,No,No,80
V727,20243105,No,No,No,60
V728,20242258,No,No,Yes,100
V729,20241007,No,No,No,80
V730,20241227,No,No,No,50
V731,20243130,No,No,No,100
V732,20242065,No,Yes,No,80
V733,20243259,No,No,No,60
V734,20244052,No,No,No,80
V735,20242247,No,No,No,50
V736,20241093,No,No,No,80
V737,20241276,No,No,No,60
V738,20242208,No,No,No,100
V739,20241157,No,No,No,100
V740,20244065,No,No,No,110
V741,20242054,No,No,Yes,80
V742,20242221,No,Yes,No,100
V743,20242197,No,No,No,100
V744,20241075,No,No,Yes,110
V745,20241279,No,No,No,50
V746,20243095,No,No,No,50
V747,20243272,No,No,No,100
V748,20243027,No,No,No,60
V749,20248001,No,No,No,70
V750,20242228,No,No,No,60
V751,20242105,No,No,No,60
V752,20241069,No,No,No,70
V753,20244074,No,No,No,100
V754,20244008,No,No,No,100
V755,20243100,No,No,No,100
V756,20241122,No,No,No,110
V757,20244064,No,No,No,90
V758,20243138,No,No,No,100
V759,20241141,No,No,No,100
V760,20241244,No,Yes,No,50
V761,20242236,No,No,No,100
V762,20242195,No,No,No,60
V763,20242010,No,No,No,60
V764,20242205,No,No,No,100
V765,20244002,No,No,No,100
V766,20242041,No,No,No,100
V767,20242084,No,No,No,70
V768,20243230,No,No,Yes,100
V769,20241114,No,No,No,80
V770,20243068,No,No,No,80
V771,20243099,No,No,No,100
V772,20242145,No,No,No,100
V773,20243062,No,Yes,No,80
V774,20244048,No,No,No,50
V775,20241112,No,No,No,80
V776,20243047,No,No,No,80
V777,20242198,No,No,No,100
V778,20243202,No,No,No,100
V779,20244029,No,No,No,80
V780,20241185,No,No,No,80
V781,20242153,No,No,No,50
V782,20243257,No,No,No,100
V783,20243149,No,No,No,60
V784,20242202,No,No,No,100
V785,20243245,No,No,No,70
V786,20244004,No,No,No,60
V787,20241123,No,No,No,100
V788,20242222,No,No,No,100
V789,20242248,No,No,No,70
V790,20241213,No,No,No,100
V791,20242220,No,No,No,50
V792,20242047,No,No,No,80
V793,20243270,No,No,No,100
V794,20241121,No,No,Yes,100
V795,20243016,No,No,Yes,80
V796,20241038,No,No,No,100
V797,20243200,No,No,No,70
V798,20243039,No,No,No,80
V799,20242246,No,No,No,60
V800,20242063,No,No,No,100
V801,20243180,No,No,No,80
V802,20241297,No,No,No,50
V803,20243059,No,No,No,60
V804,20242242,No,No,No,80
V805,20242091,No,No,No,80
V806,20243077,No,No,No,100
V807,20244038,No,No,No,60
V808,20243136,No,No,No,60
V809,20243211,No,No,No,100
V810,20241270,No,No,No,100
V811,20241225,No,No,Yes,100
V812,20241084,No,No,Yes,110
V813,20243050,No,No,No,70
V814,20243216,No,No,No,80
V815,20242190,No,Yes,No,40
V816,20243115,No,No,No,80
V817,20242116,No,No,No,80
V818,20241129,No,Yes,Yes,100
V819,20244076,No,No,No,100
V820,20243141,No,No,No,50
V821,20241095,No,No,No,100
V822,20242082,No,No,No,100
V823,20241090,No,No,No,70
V824,20241113,No,No,No,100
V825,20243258,No,No,No,60
V826,20244053,No,No,No,60
V827,20241064,No,No,Yes,100
V828,20243175,No,No,No,100
V829,20243183,No,No,No,110
V830,20241049,No,No,No,50
V831,20241242,No,Yes,No,80
V832,20241144,No,No,No,80
V833,20243262,No,No,No,60
V834,20241001,No,No,Yes,80
V835,20242231,No,No,No,80
V836,20241018,No,No,No,70
V837,20241105,No,No,No,50
V838,20241282,No,No,No,50
V839,20243204,No,No,No,50
V840,20243224,No,No,No,60
V841,20243179,No,No,No,60
V842,20241192,No,No,No,80
V843,20241026,No,No,No,80
V844,20241067,No,No,No,50
V845,20242001,No,No,No,70
V846,20243013,No,No,No,100
V847,20241191,No,No,Yes,110
V848,20242031,No,No,No,50
V849,20241117,No,No,No,80
V850,20246020,No,No,No,100
V851,20241012,No,No,No,100
V852,20242263,No,No,No,80
V853,20242038,No,No,No,100
V854,20246005,No,No,No,40
V855,20244030,No,No,No,100
V856,20242061,No,No,No,60
V857,20244036,No,No,No,100
V858,20242134,No,No,No,60
V859,20243060,No,No,No,100
V860,20242002,No,No,No,80
V861,20243057,No,No,No,100
V862,20243166,No,No,No,100
V863,20242203,No,No,No,100
V864,20243196,No,No,No,100
V865,20241214,No,Yes,No,100
V866,20242083,No,No,No,100
V867,20241272,No,Yes,No,50
V868,20241104,No,No,No,50
V869,20243182,No,No,No,40
V870,20242180,No,Yes,No,80
V871,20242126,No,No,No,50
V872,20241023,No,No,No,100
V873,20243065,No,No,No,60
V874,20243083,No,No,No,100
V875,20244070,No,No,No,80
V876,20243048,No,No,No,90
V877,20241280,No,No,Yes,100
V878,20242118,No,No,No,60
V879,20241193,No,No,Yes,100
V880,20242150,No,No,No,100
V881,20241239,No,No,No,100
V882,20242111,No,No,No,80
V883,20243255,No,No,No,100
V884,20241033,No,No,No,80
V885,20241288,No,No,No,100
V886,20243012,No,No,No,80
V887,20241164,No,No,No,100
V888,20243250,No,No,No,40
V889,20242076,No,No,No,60
V890,20241099,No,No,No,50
V891,20243052,No,No,No,60
V892,20241015,No,No,No,110
V893,20243219,No,No,Yes,100
V894,20241184,No,No,No,50
V895,20241284,No,No,No,50
V896,20242218,No,No,No,100
V897,20241008,No,No,No,70
V898,20244075,No,No,No,60
V899,20242147,No,No,No,60
V900,20248010,No,No,No,80
V901,20234108,No,No,No,60
V902,20234099,No,No,No,60
V903,20233145,No,No,Yes,100
V904,20236026,No,No,No,100
V905,20233259,No,No,No,100
V906,20236028,No,No,No,100
