Vehicle_ID,Bus_Involvement,Heavy_Rigid_Truck,Articulated_Truck,Speed_Limit
170,No,No,No,80
171,No,No,No,60
172,No,No,No,100
173,No,No,Yes,100
174,No,No,No,80
175,No,No,No,80
176,No,No,No,100
177,No,No,No,50
178,No,No,No,80
179,No,No,No,110
180,No,No,No,80
181,No,No,No,80
182,No,Yes,No,60
183,No,No,No,70
184,No,No,No,50
185,No,No,No,100
186,No,No,No,60
187,No,No,No,100
188,No,No,Yes,100
189,No,No,No,100
190,No,No,No,60
191,No,No,No,100
192,No,No,Yes,100
193,No,No,No,80
194,No,No,No,80
195,No,Yes,No,80
196,No,No,No,100
197,No,No,No,60
198,No,No,No,80
199,No,No,No,100
200,No,No,No,50
201,No,No,No,80
202,No,No,No,90
203,No,No,No,110
204,No,No,No,100
205,No,No,No,100
206,No,No,No,80
207,No,No,No,50
208,No,No,No,100
209,No,No,No,100
210,No,No,No,60
211,No,No,No,90
212,No,No,No,90
213,No,No,No,110
214,No,No,No,110
215,No,No,No,80
216,No,No,No,60
217,No,No,No,100
218,No,No,No,100
219,No,No,No,100
220,No,No,No,100
221,No,No,No,80
222,No,No,No,60
223,No,No,No,110
224,No,No,No,50
225,Yes,No,No,70
226,Yes,No,No,70
227,No,No,No,100
228,No,No,No,80
229,No,No,No,80
230,No,No,No,110
231,No,No,No,60
232,No,No,No,60
233,No,No,No,60
234,No,No,No,70
235,No,No,No,110
236,No,No,No,60
237,No,No,No,100
238,No,No,No,100
239,No,No,No,40
240,No,No,No,100
241,No,No,No,80
242,No,No,No,50
243,No,No,No,80
244,No,No,No,100
245,No,No,No,80
246,No,No,No,50
247,No,No,No,100
248,No,No,No,70
249,No,No,No,50
250,No,No,No,100
251,No,No,No,50
252,No,No,No,50
253,No,No,No,50
254,No,No,No,80
255,No,No,No,50
256,No,No,No,60
257,No,No,No,60
258,No,Yes,No,100
259,No,No,No,80
260,No,No,No,70
261,Yes,No,No,60
262,No,No,No,60
263,No,No,No,100
264,No,No,No,110
265,No,No,No,110
266,No,No,No,110
267,No,No,No,110
268,No,No,No,100
269,No,No,No,60
270,No,No,No,100
271,No,No,No,60
272,No,No,No,80
273,No,No,No,80
274,No,No,No,50
275,No,No,No,50
276,No,No,No,60
277,No,No,No,60
278,No,No,No,50
279,No,No,No,50
280,No,No,No,100
281,No,No,No,100
282,No,No,No,90
283,No,No,No,100
284,No,No,No,60
285,No,No,No,60
286,No,No,No,80
287,No,No,No,70
288,No,No,No,100
289,No,No,No,100
290,No,No,No,100
291,No,No,No,80
292,No,No,No,50
293,No,No,No,50
294,No,No,No,40
295,No,No,No,60
296,No,No,No,100
297,No,No,No,100
298,No,No,No,100
299,No,Yes,No,80
300,No,No,No,60
301,No,No,No,70
302,No,No,No,70
303,No,No,No,60
304,No,No,No,80
305,No,No,No,80
306,No,No,Yes,100
307,No,No,No,100
308,No,No,No,50
309,No,No,No,60
310,No,No,No,100
311,No,No,No,60
312,No,No,No,80
313,No,Yes,No,100
314,No,No,No,60
315,No,No,No,100
316,No,No,No,60
317,No,No,No,100
318,No,No,No,60
319,No,No,No,80
320,No,No,No,60
321,No,No,No,60
322,No,No,No,80
323,No,No,No,80
324,No,No,No,50
325,No,No,Yes,100
326,No,No,No,100
327,No,No,No,100
328,No,No,No,70
329,No,No,No,100
330,No,No,No,100
331,No,No,No,100
332,No,No,No,100
333,No,No,No,100
334,No,Yes,Yes,80
335,No,No,No,60
336,No,No,No,70
337,No,No,No,70
338,No,No,No,50
339,No,No,No,60
340,No,No,No,100
341,No,No,No,100
342,No,No,No,50
343,No,Yes,No,60
344,No,Yes,No,80
345,No,No,No,100
346,No,No,No,110
347,No,No,No,100
348,No,No,No,60
349,No,No,No,80
350,No,No,No,60
351,No,No,No,50
352,No,No,No,40
353,No,No,No,100
354,No,No,No,80
355,No,No,No,80
356,No,No,No,80
357,No,No,No,80
358,No,No,No,80
359,No,No,No,50
360,No,No,No,100
361,No,No,No,100
362,No,No,No,100
363,No,No,No,80
364,No,No,No,100
365,No,No,No,80
366,No,No,No,60
367,No,No,No,50
368,No,No,No,60
369,No,No,No,60
370,No,No,No,60
371,No,No,No,80
372,No,No,No,100
373,No,No,No,100
374,No,No,No,100
375,No,No,No,100
376,No,No,No,100
377,No,No,No,100
378,No,Yes,No,50
379,No,Yes,No,100
380,No,No,No,80
381,No,No,No,60
382,No,No,No,60
383,No,No,No,110
384,No,No,No,70
385,No,No,Yes,100
386,No,No,No,100
387,No,Yes,No,40
388,No,No,No,70
389,No,No,No,110
390,No,No,No,60
391,No,No,No,60
392,No,No,No,100
393,No,No,No,80
394,No,No,No,80
395,No,Yes,No,60
396,No,No,Yes,100
397,No,No,No,100
398,No,No,No,100
399,No,No,No,60
400,No,No,No,100
401,No,No,No,100
402,No,No,No,100
403,No,No,No,100
404,No,No,No,100
405,No,No,No,100
406,No,No,No,60
407,No,No,No,80
408,No,Yes,No,130
409,No,No,No,70
410,No,No,No,80
411,No,No,No,100
412,No,No,No,50
413,No,Yes,Yes,60
414,No,No,Yes,110
415,No,No,No,100
416,No,No,No,50
417,No,Yes,No,60
418,No,No,No,100
419,No,No,No,100
420,No,No,No,100
421,No,No,No,100
422,No,No,Yes,110
423,No,No,Yes,110
424,No,No,No,60
425,No,No,No,70
426,No,No,No,80
427,No,No,No,80
428,No,No,No,80
429,No,No,Yes,60
430,No,No,No,70
431,No,No,No,100
432,No,No,No,100
433,No,No,No,100
434,No,No,No,50
435,No,No,No,60
436,No,No,No,100
437,No,No,No,50
438,No,No,No,80
439,No,No,No,60
440,No,Yes,No,80
441,No,No,No,50
442,No,No,No,60
443,No,No,No,100
444,No,No,No,100
445,No,No,No,100
446,No,No,No,100
447,No,No,No,80
448,No,No,No,80
449,No,No,No,80
450,No,No,No,60
451,No,No,No,100
452,No,No,No,100
453,No,No,No,60
454,No,No,No,80
455,No,No,No,40
456,No,No,No,60
457,No,No,Yes,50
458,No,No,No,100
459,No,No,No,100
460,No,Yes,No,100
461,No,No,No,60
462,No,No,No,100
463,No,No,No,60
464,No,No,No,50
465,No,No,Yes,100
466,No,No,Yes,100
467,No,No,No,50
468,No,No,No,60
469,No,No,No,90
470,No,No,No,50
471,No,No,No,110
472,Yes,No,No,60
473,No,No,No,100
474,No,No,No,100
475,No,No,No,50
476,No,No,No,60
477,No,No,No,60
478,No,No,Yes,60
479,No,No,No,100
480,No,No,Yes,100
481,No,No,Yes,100
482,No,No,No,60
483,No,No,No,60
484,No,No,No,60
485,No,No,Yes,100
486,No,No,No,100
487,No,No,No,70
488,No,No,Yes,80
489,No,No,No,100
490,No,No,No,100
491,No,No,No,100
492,No,No,No,70
493,No,Yes,No,100
494,No,No,No,100
495,No,No,No,70
496,No,No,No,80
497,No,No,No,80
498,No,No,No,80
499,No,No,No,100
500,No,No,No,80
501,No,No,No,80
502,No,No,No,50
503,No,No,No,60
504,No,No,No,60
505,No,No,No,80
506,No,No,No,60
507,Yes,No,No,40
508,No,No,No,70
509,No,No,No,60
510,No,No,No,100
511,No,No,No,50
512,No,No,No,100
513,No,No,No,100
514,No,No,No,100
515,No,No,No,80
516,No,No,No,100
517,No,No,No,60
518,No,No,No,80
519,No,No,No,80
520,No,No,No,100
521,No,Yes,Yes,110
522,No,No,No,80
523,No,No,No,60
524,No,No,No,100
525,No,No,No,80
526,No,No,No,60
527,No,No,No,40
528,No,No,No,10
529,No,No,No,50
530,No,No,No,100
531,No,No,No,70
532,No,No,No,70
533,Yes,No,No,100
534,Yes,No,No,100
535,Yes,No,No,100
536,No,No,No,50
537,No,No,No,80
538,No,No,Yes,100
539,No,No,No,70
540,No,No,No,90
541,No,No,No,50
542,No,No,No,60
543,No,No,No,110
544,No,No,No,80
545,No,No,No,50
546,No,No,No,60
547,No,No,No,80
548,No,No,No,70
549,No,No,No,60
550,No,No,No,80
551,No,No,Yes,60
552,No,No,No,80
553,No,No,No,110
554,No,No,No,110
555,No,No,No,80
556,No,No,No,60
557,No,Yes,No,80
558,No,No,Yes,100
559,No,No,No,100
560,No,Yes,No,60
561,No,No,No,50
562,No,No,No,40
563,No,No,No,50
564,No,No,No,100
565,No,No,No,80
566,No,No,No,100
567,No,No,No,60
568,No,No,No,50
569,No,No,No,50
570,No,No,No,60
571,No,No,No,80
572,No,Yes,No,50
573,No,No,No,80
574,No,No,No,80
575,No,No,No,100
576,No,No,No,100
577,No,No,No,60
578,No,No,No,70
579,No,No,No,60
580,No,No,No,100
581,No,No,No,80
582,No,No,No,60
583,No,No,No,70
584,No,No,No,100
585,No,No,No,80
586,No,No,No,60
587,No,No,No,50
588,No,No,No,40
589,No,No,No,50
590,No,No,No,60
591,No,No,No,10
592,No,No,No,100
593,No,No,No,60
594,No,No,No,100
595,No,No,No,60
596,No,No,No,70
597,No,No,No,70
598,No,No,No,100
599,No,No,No,100
600,No,No,No,100
601,No,No,Yes,80
602,No,No,Yes,80
603,No,No,Yes,80
604,No,No,Yes,100
605,No,No,No,60
606,No,No,No,100
607,No,No,Yes,110
608,No,No,No,80
609,No,No,No,70
610,No,No,No,70
611,No,Yes,No,100
612,No,No,No,60
613,No,No,No,70
614,No,No,No,70
615,No,No,Yes,100
616,No,No,No,110
617,No,No,No,50
618,No,No,No,80
619,No,No,No,40
620,No,No,No,60
621,No,No,No,100
622,No,No,No,60
623,No,No,No,70
624,No,No,No,70
625,No,No,No,50
626,No,No,No,110
627,No,No,No,110
628,No,No,No,110
629,No,No,No,80
630,No,No,No,80
631,No,No,No,100
632,No,No,No,100
633,No,No,No,70
634,No,No,No,80
635,No,No,No,80
636,No,No,No,60
637,No,No,No,100
638,No,No,No,100
639,No,No,No,100
640,No,No,No,110
641,No,No,No,100
642,No,No,No,60
643,No,No,No,80
644,No,No,No,60
645,No,No,No,60
646,No,Yes,No,60
647,No,No,No,80
648,No,No,No,100
649,No,No,No,80
650,No,No,No,100
651,No,No,No,100
652,No,No,No,40
653,No,No,No,100
654,No,No,No,60
655,No,No,No,70
656,No,No,No,70
657,No,No,No,70
658,No,No,Yes,110
659,No,No,Yes,110
660,No,Yes,No,110
661,No,No,No,100
662,No,Yes,No,80
663,No,No,No,50
664,No,No,No,100
665,No,No,No,50
666,No,No,No,100
667,No,No,No,110
668,No,Yes,No,100
669,No,No,No,110
670,No,No,No,50
671,No,No,No,110
672,No,No,No,100
673,No,No,No,100
674,No,No,No,80
675,No,No,No,100
676,No,No,No,60
677,Yes,No,No,110
678,Yes,No,No,70
679,No,No,No,100
680,No,No,No,60
681,No,No,No,60
682,No,No,No,60
683,No,No,No,100
684,No,No,No,60
685,No,No,No,100
686,No,No,No,100
687,No,No,No,100
688,No,No,No,80
689,No,No,No,100
690,No,No,No,100
691,No,No,No,60
692,No,No,No,80
693,No,No,No,60
694,No,No,No,110
695,No,No,No,100
696,No,No,No,90
697,No,No,No,50
698,No,No,No,50
699,No,No,No,110
700,No,No,No,100
701,No,No,No,110
702,No,No,No,110
703,No,No,Yes,110
704,No,No,Yes,110
705,No,No,Yes,110
706,No,No,No,100
707,No,No,No,100
708,No,Yes,No,80
709,No,Yes,Yes,100
710,No,No,No,80
711,No,No,No,80
712,No,No,No,100
713,No,No,No,100
714,No,No,Yes,100
715,No,No,No,100
716,No,No,No,50
717,No,No,No,60
718,No,No,No,70
719,No,No,No,100
720,No,No,No,100
721,No,Yes,No,70
722,No,No,No,100
723,No,No,No,110
724,No,No,Yes,60
725,No,No,No,50
726,No,No,No,60
727,Yes,No,No,80
728,No,No,No,70
729,No,No,No,70
730,No,No,No,80
731,No,No,Yes,100
732,No,No,No,60
733,No,No,No,60
734,No,No,No,100
735,No,No,Yes,100
736,No,No,No,80
737,No,No,No,100
738,No,No,Yes,100
739,No,No,No,60
740,No,No,No,60
741,No,No,No,70
742,No,No,No,100
743,No,No,No,110
744,No,No,No,100
745,No,Yes,No,60
746,No,No,No,60
747,No,No,No,80
748,No,No,No,100
749,Yes,No,No,70
750,Yes,No,No,40
751,No,No,No,100
752,No,No,No,110
753,No,No,No,100
754,No,No,No,100
755,No,No,Yes,80
756,No,No,Yes,80
757,No,No,Yes,80
758,No,No,No,100
759,No,No,No,70
760,No,No,No,110
761,No,No,No,100
762,No,Yes,No,100
763,No,No,No,60
764,No,No,No,110
765,No,No,No,80
766,No,No,No,70
767,No,No,No,100
768,No,No,No,100
769,No,No,Yes,80
770,No,No,No,100
771,No,No,Yes,100
772,No,No,No,60
773,No,No,No,60
774,No,No,No,50
775,No,No,No,100
776,No,No,No,100
777,No,No,No,50
778,No,No,No,110
779,No,No,No,100
780,No,No,No,80
781,No,No,No,110
782,No,No,No,100
783,No,No,No,110
784,No,No,No,110
785,No,No,No,60
786,No,No,No,60
787,No,No,No,100
788,No,No,No,100
789,No,No,No,60
790,No,No,No,80
791,No,No,No,90
792,No,No,No,60
793,No,No,No,50
794,No,No,No,40
795,No,No,No,80
796,No,No,No,60
797,No,No,Yes,100
798,No,No,No,80
799,No,No,No,50
800,No,No,No,100
801,No,Yes,No,80
802,No,No,No,60
803,No,No,No,80
804,No,No,No,50
805,No,No,No,50
806,No,No,No,80
807,No,No,No,60
808,No,No,No,100
809,No,No,No,100
810,No,No,No,110
811,No,No,Yes,80
812,No,Yes,No,100
813,No,No,No,100
814,No,No,Yes,110
815,No,No,No,50
816,No,No,No,50
817,No,No,No,100
818,No,No,No,60
819,No,No,No,70
820,No,No,No,60
821,No,No,No,60
822,No,No,No,70
823,No,No,No,100
824,No,No,No,100
825,No,No,No,100
826,No,No,No,100
827,No,No,No,110
828,No,No,No,90
829,No,No,No,100
830,No,No,No,100
831,No,Yes,No,50
832,No,No,No,100
833,No,No,No,60
834,No,No,No,60
835,No,No,No,100
836,No,No,No,100
837,No,No,No,100
838,No,No,No,70
839,No,No,Yes,100
840,No,No,No,80
841,No,No,No,80
842,No,No,No,100
843,No,No,No,100
844,No,Yes,No,80
845,No,No,No,50
846,No,No,No,80
847,No,No,No,80
848,No,No,No,100
849,No,No,No,100
850,No,No,No,100
851,No,No,No,80
852,No,No,No,80
853,No,No,No,80
854,No,No,No,80
855,No,No,No,80
856,No,No,No,50
857,No,No,No,100
858,No,No,No,60
859,No,No,No,100
860,No,No,No,70
861,No,No,No,60
862,No,No,No,100
863,No,No,No,100
864,No,No,No,70
865,No,No,No,100
866,No,No,No,100
867,No,No,No,100
868,No,No,No,50
869,No,No,No,80
870,No,No,No,100
871,No,No,Yes,100
872,No,No,Yes,80
873,No,No,No,100
874,No,No,No,70
875,No,No,No,80
876,No,No,No,60
877,No,No,No,100
878,No,No,No,80
879,No,No,No,50
880,No,No,No,60
881,No,No,No,80
882,No,No,No,80
883,No,No,No,100
884,No,No,No,60
885,No,No,No,60
886,No,No,No,100
887,No,No,No,100
888,No,No,Yes,100
889,No,No,Yes,110
890,No,No,No,70
891,No,No,No,80
892,No,Yes,No,40
893,No,No,No,80
894,No,No,No,80
895,No,Yes,Yes,100
896,No,No,No,100
897,No,No,No,50
898,No,No,No,100
899,No,No,No,100
900,No,No,No,70
901,No,No,No,100
902,No,No,No,60
903,No,No,No,60
904,No,No,Yes,100
905,No,No,No,100
906,No,No,No,110
907,No,No,No,50
908,No,Yes,No,80
909,No,No,No,80
910,No,No,No,60
911,No,No,Yes,80
912,No,No,No,80
913,No,No,No,70
914,No,No,No,50
915,No,No,No,50
916,No,No,No,50
917,No,No,No,60
918,No,No,No,60
919,No,No,No,80
920,No,No,No,80
921,No,No,No,50
922,No,No,No,70
923,No,No,No,100
924,No,No,Yes,110
925,No,No,Yes,110
926,No,No,No,50
927,No,No,No,80
928,No,No,No,80
929,No,No,No,100
930,No,No,No,100
931,No,No,No,80
932,No,No,No,100
933,No,No,No,40
934,No,No,No,100
935,No,No,No,60
936,No,No,No,100
937,No,No,No,60
938,No,No,No,100
939,No,No,No,80
940,No,No,No,80
941,No,No,No,100
942,No,No,No,100
943,No,No,No,100
944,No,No,No,100
945,No,Yes,No,100
946,No,No,No,100
947,No,Yes,No,50
948,No,No,No,50
949,No,No,No,40
950,No,Yes,No,80
951,No,No,No,50
952,No,No,No,100
953,No,No,No,100
954,No,No,No,60
955,No,No,No,100
956,No,No,No,80
957,No,No,No,90
958,No,No,Yes,100
959,No,No,No,60
960,No,No,No,60
961,No,No,Yes,100
962,No,No,No,100
963,No,No,No,100
964,No,No,No,80
965,No,No,No,100
966,No,No,No,80
967,No,No,No,100
968,No,No,No,80
969,No,No,No,100
970,No,No,No,40
971,No,No,No,60
972,No,No,No,50
973,No,No,No,60
974,No,No,No,110
975,No,No,Yes,100
976,No,No,No,50
977,No,No,No,50
978,No,No,No,100
979,No,No,No,70
980,No,No,No,60
981,No,No,No,60
982,No,No,No,80
983,No,No,No,60
984,No,No,No,60
985,No,No,Yes,100
986,No,No,No,100
987,No,No,No,100
988,No,No,No,100
989,No,No,No,100
990,No,No,No,100
991,No,No,No,100
992,No,No,Yes,110
993,No,No,No,80
994,No,No,No,100
995,No,No,No,60
996,No,No,Yes,100
997,No,No,Yes,100
998,No,No,No,100
999,No,No,Yes,110
1000,No,No,No,100
1001,No,No,No,50
1002,No,No,No,60
1003,No,No,Yes,60
1004,No,No,Yes,60
1005,No,No,No,60
1006,No,No,No,100
1007,No,No,Yes,100
1008,No,No,No,100
1009,No,No,No,50
1010,No,No,No,80
1011,No,No,No,60
1012,No,No,No,60
1013,No,No,No,80
1014,No,No,No,100
1015,No,No,No,100
1016,No,No,No,50
1017,No,No,No,80
1018,No,No,No,50
1019,No,No,No,50
1020,No,No,No,100
1021,No,No,No,100
1022,No,No,No,50
1023,No,No,No,80
1024,No,No,No,60
1025,No,No,No,100
1026,No,No,No,100
1027,No,No,No,50
1028,No,No,No,100
1029,No,No,No,100
1030,No,No,No,70
1031,No,No,No,50
1032,No,No,No,60
1033,No,No,No,80
1034,No,No,No,50
1035,No,No,No,110
1036,No,No,No,110
1037,No,No,No,80
1038,No,No,No,70
1039,No,No,No,80
1040,No,No,No,100
1041,No,No,No,100
1042,No,No,No,80
1043,No,No,No,60
1044,No,No,No,60
1045,No,No,No,100
1046,No,No,No,80
1047,No,No,No,100
1048,No,No,No,80
1049,No,No,No,100
1050,No,No,No,100
1051,No,No,No,50
1052,No,No,No,100
1053,No,No,No,100
1054,No,No,No,80
1055,No,No,No,60
1056,No,No,No,80
1057,No,No,No,100
1058,No,No,No,100
1059,No,No,No,110
1060,No,No,No,100
1061,No,No,No,100
1062,No,Yes,No,100
1063,No,Yes,No,80
1064,No,No,No,110
1065,No,No,No,70
1066,No,No,No,60
1067,No,No,No,100
1068,No,No,No,100
1069,No,No,No,100
1070,No,No,No,100
1071,No,No,No,100
1072,No,No,No,25
1073,No,No,No,50
1074,No,No,No,80
1075,No,No,No,50
1076,No,No,No,60
1077,No,No,No,100
1078,No,No,No,80
1079,No,No,No,60
1080,No,No,No,100
1081,No,No,No,60
1082,No,No,No,70
1083,No,No,No,80
1084,No,Yes,No,80
1085,No,No,No,70
1086,No,No,No,50
1087,No,No,No,100
1088,No,No,No,80
1089,No,No,No,70
1090,No,No,No,50
1091,No,No,No,50
1092,No,Yes,No,110
1093,No,No,No,100
1094,Yes,No,No,50
1095,No,No,No,50
1096,No,No,No,50
1097,No,No,No,60
1098,No,No,No,100
1099,No,No,No,50
1100,No,No,No,100
1101,No,No,No,100
1102,No,No,No,100
1103,No,No,No,110
1104,No,No,No,110
1105,No,No,No,110
1106,No,No,No,50
1107,No,No,No,100
1108,No,No,No,50
1109,No,No,No,50
1110,No,No,No,50
1111,No,No,No,60
1112,No,No,No,80
1113,No,No,No,80
1114,No,No,No,50
1115,No,No,No,60
1116,No,No,No,80
1117,No,No,Yes,100
1118,No,No,No,60
1119,No,No,No,100
1120,No,No,No,100
1121,No,No,No,80
1122,No,Yes,No,100
1123,No,No,Yes,110
1124,No,No,No,60
1125,No,No,Yes,110
1126,No,No,No,110
1127,No,No,No,50
1128,Yes,No,No,50
1129,No,No,No,60
1130,No,No,No,90
1131,No,No,No,60
1132,No,No,No,100
1133,No,No,No,40
1134,No,No,No,60
1135,No,Yes,No,60
1136,No,No,Yes,40
1137,No,No,No,60
1138,No,No,No,100
1139,No,No,No,110
1140,No,No,No,110
1141,No,No,No,110
1142,No,No,No,60
1143,No,Yes,No,100
1144,No,No,No,80
1145,No,No,No,80
1146,No,No,No,100
1147,No,No,Yes,100
1148,No,No,No,70
1149,No,No,No,100
1150,No,No,No,80
1151,No,No,No,80
1152,No,No,No,100
1153,No,No,No,20
1154,No,No,No,100
1155,No,No,No,100
1156,No,No,No,100
1157,No,No,No,80
1158,No,No,No,80
1159,No,No,No,100
1160,No,No,No,80
1161,No,No,No,80
1162,No,No,No,60
1163,No,No,No,100
1164,No,No,No,50
1165,No,No,No,80
1166,No,No,No,100
1167,No,No,No,60
1168,No,No,No,100
1169,No,No,No,80
1170,No,No,No,130
1171,No,No,No,100
1172,No,No,No,70
1173,No,No,No,60
1174,No,No,No,100
1175,No,No,No,60
1176,No,No,No,50
1177,No,No,No,80
1178,No,No,No,70
1179,No,No,No,80
1180,No,No,No,60
1181,No,No,No,100
1182,No,No,No,50
1183,No,No,No,50
1184,No,No,No,80
1185,No,No,No,60
1186,Yes,No,No,60
1187,No,No,No,80
1188,No,No,No,50
1189,No,No,No,60
1190,No,No,No,50
1191,No,Yes,No,50
1192,No,No,No,110
1193,No,No,No,50
1194,No,No,No,80
1195,No,No,No,110
1196,No,No,No,100
1197,No,No,No,100
1198,No,No,No,50
1199,No,No,No,110
1200,No,No,No,100
1201,No,No,No,60
1202,No,No,No,60
1203,No,No,No,60
1204,No,No,No,60
1205,No,No,No,70
1206,No,No,No,100
1207,No,No,No,100
1208,No,No,No,100
1209,No,No,No,100
1210,No,No,No,80
1211,No,No,No,50
1212,No,No,No,100
1213,No,No,No,50
1214,No,No,No,50
1215,No,Yes,No,100
1216,No,Yes,No,50
1217,No,No,No,60
1218,No,No,No,100
1219,No,No,No,100
1220,No,No,No,50
1221,No,No,No,50
1222,No,No,No,60
1223,No,No,No,40
1224,No,No,No,50
1225,No,No,No,60
1226,No,Yes,No,60
1227,No,No,No,100
1228,No,No,No,100
1229,No,No,No,110
1230,No,Yes,No,100
1231,No,No,No,60
1232,No,No,No,110
1233,No,No,No,100
1234,Yes,No,No,60
1235,No,No,No,50
1236,No,No,No,80
1237,No,No,No,70
1238,No,No,No,70
1239,No,No,No,50
1240,No,No,No,50
1241,No,No,No,50
1242,No,No,No,100
1243,No,No,No,100
1244,No,No,No,100
1245,No,No,No,100
1246,No,No,No,60
1247,No,No,No,10
1248,No,No,No,60
1249,No,No,No,60
1250,No,No,Yes,110
1251,No,No,No,60
1252,No,No,No,100
1253,No,No,No,80
1254,No,No,No,40
1255,No,No,No,100
1256,No,No,No,100
1257,No,No,No,100
1258,No,No,No,60
1259,No,No,No,100
1260,No,No,No,50
1261,No,No,No,100
1262,No,Yes,No,80
1263,No,No,No,50
1264,No,No,No,100
1265,No,No,No,110
1266,No,No,No,110
1267,No,No,No,100
1268,No,No,No,60
1269,No,No,No,70
1270,No,No,No,80
1271,No,No,No,100
1272,No,No,No,100
1273,No,No,No,100
1274,No,No,No,60
1275,No,No,No,100
1276,No,No,No,100
1277,No,No,No,110
1278,No,No,No,80
1279,No,No,No,60
1280,No,No,No,80
1281,No,No,No,50
1282,No,No,Yes,80
1283,No,No,No,100
1284,No,No,No,100
1285,No,No,No,100
1286,No,No,No,100
1287,No,No,No,80
1288,No,No,No,60
1289,No,No,Yes,80
1290,No,No,No,80
1291,No,No,No,80
1292,No,No,No,60
1293,No,No,No,50
1294,No,No,No,50
1295,No,No,Yes,110
1296,No,No,No,100
1297,No,No,No,10
1298,No,No,No,100
1299,No,No,No,60
1300,No,No,No,70
1301,No,No,No,80
1302,No,No,No,110
1303,No,No,No,110
1304,No,No,No,60
1305,No,Yes,No,80
1306,No,No,No,100
1307,No,Yes,No,80
1308,No,No,No,100
1309,No,No,No,50
1310,No,No,No,40
1311,No,No,No,80
1312,No,No,No,60
1313,No,No,No,60
1314,No,No,No,100
1315,No,No,No,50
1316,No,No,Yes,110
1317,No,No,No,80
1318,No,No,No,100
1319,No,No,No,60
