Participant ID,Gender,Age,Age Group,Road User,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement
45,Female,60,40_to_64,Driver,No,No,No
46,Female,59,40_to_64,Passenger,No,No,No
47,Male,45,40_to_64,Motorcycle rider,No,No,No
48,Female,90,75_or_older,Driver,No,No,No
49,Male,32,26_to_39,Driver,No,No,No
50,Male,49,40_to_64,Driver,No,No,No
51,Male,21,17_to_25,Driver,No,No,No
52,Male,21,17_to_25,Passenger,No,No,No
53,Male,16,0_to_16,Driver,No,No,No
54,Female,22,17_to_25,Passenger,No,No,No
55,Female,21,17_to_25,Driver,No,No,No
56,Male,23,17_to_25,Passenger,No,No,Yes
57,Female,80,75_or_older,Passenger,No,No,No
58,Male,23,17_to_25,Passenger,No,No,No
59,Female,64,40_to_64,Pedestrian,No,No,Yes
60,Female,17,17_to_25,Driver,No,No,No
61,Male,71,65_to_74,Motorcycle rider,No,No,No
62,Male,66,65_to_74,Driver,No,No,No
63,Male,60,40_to_64,Motorcycle rider,No,No,No
64,Male,54,40_to_64,Driver,No,Yes,Yes
65,Male,18,17_to_25,Motorcycle rider,Yes,No,No
66,Male,24,17_to_25,Driver,No,No,Yes
67,Male,27,26_to_39,Pedestrian,No,No,No
68,Male,38,26_to_39,Driver,No,No,No
69,Female,97,75_or_older,Passenger,No,No,No
70,Male,83,75_or_older,Driver,No,No,No
71,Male,49,40_to_64,Driver,No,No,No
72,Male,36,26_to_39,Driver,No,No,Yes
73,Male,70,65_to_74,Driver,No,No,No
74,Female,29,26_to_39,Driver,No,No,No
75,Male,26,26_to_39,Motorcycle rider,No,No,No
76,Male,43,40_to_64,Driver,No,No,No
77,Male,61,40_to_64,Motorcycle rider,No,No,No
78,Male,52,40_to_64,Driver,No,No,No
79,Male,22,17_to_25,Motorcycle rider,No,No,No
80,Male,53,40_to_64,Driver,No,No,No
81,Male,44,40_to_64,Motorcycle rider,No,No,No
82,Female,57,40_to_64,Passenger,No,No,No
83,Male,18,17_to_25,Driver,No,No,No
84,Male,18,17_to_25,Passenger,No,No,No
85,Male,53,40_to_64,Driver,No,No,No
86,Male,25,17_to_25,Motorcycle rider,No,No,No
87,Female,44,40_to_64,Passenger,No,No,No
88,Female,64,40_to_64,Passenger,No,No,No
89,Male,17,17_to_25,Driver,No,No,No
90,Female,43,40_to_64,Pedestrian,No,No,Yes
91,Female,83,75_or_older,Driver,No,No,No
92,Male,71,65_to_74,Pedal cyclist,No,No,No
93,Male,69,65_to_74,Motorcycle rider,No,No,No
94,Male,87,75_or_older,Passenger,No,No,No
95,Female,58,40_to_64,Pedestrian,No,No,No
96,Male,45,40_to_64,Driver,No,No,No
97,Male,43,40_to_64,Motorcycle rider,No,No,No
98,Male,38,26_to_39,Driver,No,No,No
99,Male,15,0_to_16,Driver,No,No,No
100,Male,27,26_to_39,Driver,No,No,Yes
101,Male,63,40_to_64,Pedestrian,No,No,No
102,Male,38,26_to_39,Motorcycle rider,No,No,No
103,Male,36,26_to_39,Pedal cyclist,No,No,No
104,Male,47,40_to_64,Motorcycle rider,No,No,No
105,Female,78,75_or_older,Driver,No,No,No
106,Female,19,17_to_25,Driver,No,No,No
107,Female,76,75_or_older,Driver,No,No,No
108,Male,23,17_to_25,Passenger,No,No,No
109,Female,78,75_or_older,Driver,No,No,No
110,Male,25,17_to_25,Passenger,Yes,No,No
111,Male,29,26_to_39,Pedestrian,No,No,No
112,Male,37,26_to_39,Driver,No,No,No
113,Female,71,65_to_74,Pedestrian,No,No,No
114,Male,18,17_to_25,Driver,No,No,No
115,Female,42,40_to_64,Driver,No,No,No
116,Female,15,0_to_16,Driver,No,No,No
117,Male,26,26_to_39,Driver,No,No,No
118,Male,21,17_to_25,Driver,No,No,No
119,Female,60,40_to_64,Passenger,No,No,Yes
120,Male,57,40_to_64,Driver,No,No,Yes
121,Male,30,26_to_39,Driver,No,No,No
122,Male,36,26_to_39,Driver,No,Yes,Yes
123,Female,48,40_to_64,Pedestrian,No,No,No
124,Female,60,40_to_64,Motorcycle rider,No,No,No
125,Male,68,65_to_74,Motorcycle rider,No,No,No
126,Male,66,65_to_74,Motorcycle rider,No,No,No
127,Male,65,65_to_74,Pedal cyclist,No,No,No
128,Male,19,17_to_25,Passenger,No,No,No
129,Male,20,17_to_25,Driver,No,No,No
130,Male,35,26_to_39,Pedestrian,No,No,No
131,Male,28,26_to_39,Pedestrian,No,No,No
132,Male,45,40_to_64,Driver,No,Yes,Yes
133,Male,30,26_to_39,Passenger,No,Yes,Yes
134,Male,70,65_to_74,Driver,No,No,No
135,Female,31,26_to_39,Pedestrian,No,No,No
136,Male,62,40_to_64,Driver,No,No,No
137,Female,69,65_to_74,Driver,No,No,No
138,Female,83,75_or_older,Pedestrian,No,No,No
139,Female,51,40_to_64,Driver,Yes,No,No
140,Male,37,26_to_39,Driver,No,No,Yes
141,Male,66,65_to_74,Passenger,No,No,No
142,Male,76,75_or_older,Driver,No,No,No
143,Male,55,40_to_64,Motorcycle rider,No,Yes,No
144,Male,31,26_to_39,Driver,No,No,No
145,Male,60,40_to_64,Driver,No,No,Yes
146,Male,56,40_to_64,Driver,No,No,Yes
147,Female,55,40_to_64,Driver,No,No,No
148,Male,82,75_or_older,Passenger,No,No,No
149,Male,43,40_to_64,Pedal cyclist,No,No,No
150,Male,66,65_to_74,Driver,No,No,No
151,Female,21,17_to_25,Pedestrian,No,No,No
152,Male,56,40_to_64,Driver,No,No,Yes
153,Male,29,26_to_39,Driver,No,Yes,No
154,Female,75,75_or_older,Driver,No,No,No
155,Male,53,40_to_64,Driver,No,No,No
156,Male,32,26_to_39,Motorcycle rider,No,No,No
157,Female,31,26_to_39,Driver,No,No,No
158,Male,42,40_to_64,Driver,No,No,No
159,Female,40,40_to_64,Driver,No,No,No
160,Male,56,40_to_64,Driver,No,No,No
161,Female,40,40_to_64,Passenger,No,No,Yes
162,Male,13,0_to_16,Passenger,No,No,Yes
163,Male,64,40_to_64,Motorcycle rider,No,Yes,No
164,Female,24,17_to_25,Driver,No,No,Yes
165,Male,27,26_to_39,Driver,No,No,No
166,Male,37,26_to_39,Passenger,No,No,Yes
167,Male,81,75_or_older,Pedestrian,No,Yes,No
168,Female,80,75_or_older,Pedestrian,No,Yes,No
169,Female,21,17_to_25,Driver,No,No,No
170,Male,39,26_to_39,Motorcycle rider,No,No,No
171,Male,27,26_to_39,Pedestrian,No,No,No
172,Male,54,40_to_64,Motorcycle rider,No,No,No
173,Female,17,17_to_25,Driver,No,No,Yes
174,Female,76,75_or_older,Passenger,No,No,No
175,Male,19,17_to_25,Motorcycle rider,No,No,No
176,Female,55,40_to_64,Motorcycle rider,No,No,No
177,Female,44,40_to_64,Driver,No,No,No
178,Male,28,26_to_39,Motorcycle rider,No,No,No
179,Male,91,75_or_older,Pedestrian,No,No,No
180,Male,45,40_to_64,Driver,No,No,No
181,Female,11,0_to_16,Passenger,No,No,No
182,Female,53,40_to_64,Driver,No,Yes,No
183,Male,63,40_to_64,Driver,No,No,No
184,Male,62,40_to_64,Driver,No,No,No
185,Male,43,40_to_64,Driver,No,No,No
186,Male,73,65_to_74,Driver,No,No,No
187,Male,24,17_to_25,Driver,No,No,No
188,Male,46,40_to_64,Motorcycle rider,No,No,Yes
189,Female,48,40_to_64,Driver,No,No,No
190,Male,69,65_to_74,Pedestrian,No,No,No
191,Male,30,26_to_39,Driver,No,No,No
192,Male,37,26_to_39,Driver,No,No,Yes
193,Male,51,40_to_64,Motorcycle rider,No,No,No
194,Male,46,40_to_64,Driver,No,No,No
195,Male,73,65_to_74,Motorcycle rider,No,Yes,No
196,Female,78,75_or_older,Passenger,No,No,No
197,Male,73,65_to_74,Driver,No,No,No
198,Female,74,65_to_74,Passenger,No,No,No
199,Male,20,17_to_25,Motorcycle rider,No,No,No
200,Male,18,17_to_25,Driver,No,No,No
201,Male,27,26_to_39,Motorcycle rider,No,No,No
202,Male,27,26_to_39,Driver,No,No,No
203,Male,14,0_to_16,Passenger,No,No,No
204,Male,37,26_to_39,Driver,No,No,No
205,Female,53,40_to_64,Driver,No,No,No
206,Male,41,40_to_64,Motorcycle rider,No,No,No
207,Male,27,26_to_39,Motorcycle rider,No,No,No
208,Male,48,40_to_64,Motorcycle rider,No,No,No
209,Female,34,26_to_39,Motorcycle rider,No,No,No
210,Male,22,17_to_25,Motorcycle rider,No,No,No
211,Male,58,40_to_64,Passenger,No,No,No
212,Female,68,65_to_74,Passenger,No,No,No
213,Male,5,0_to_16,Passenger,No,No,No
214,Female,15,0_to_16,Passenger,No,No,No
215,Male,37,26_to_39,Motorcycle rider,No,No,No
216,Male,56,40_to_64,Driver,No,No,No
217,Male,20,17_to_25,Driver,No,No,No
218,Male,21,17_to_25,Driver,No,No,No
219,Male,30,26_to_39,Driver,No,No,No
220,Male,35,26_to_39,Driver,No,No,No
221,Female,2,0_to_16,Pedestrian,No,No,No
222,Female,59,40_to_64,Motorcycle rider,No,No,No
223,Male,76,75_or_older,Motorcycle rider,No,No,No
224,Male,76,75_or_older,Pedestrian,No,No,No
225,Male,51,40_to_64,Driver,Yes,No,No
226,Male,44,40_to_64,Driver,Yes,No,No
227,Male,34,26_to_39,Driver,No,No,No
228,Male,77,75_or_older,Driver,No,No,No
229,Male,19,17_to_25,Motorcycle rider,No,No,No
230,Male,65,65_to_74,Motorcycle rider,No,No,No
231,Male,21,17_to_25,Motorcycle rider,No,No,No
232,Male,27,26_to_39,Motorcycle rider,No,No,No
233,Male,21,17_to_25,Motorcycle rider,No,No,No
234,Female,33,26_to_39,Motorcycle rider,No,No,No
235,Female,19,17_to_25,Driver,No,No,No
236,Male,49,40_to_64,Driver,No,No,No
237,Male,34,26_to_39,Driver,No,No,No
238,Male,61,40_to_64,Driver,No,No,No
239,Male,11,0_to_16,Pedestrian,No,No,No
240,Female,39,26_to_39,Pedestrian,No,No,No
241,Male,30,26_to_39,Motorcycle rider,No,No,No
242,Male,49,40_to_64,Driver,No,No,No
243,Male,41,40_to_64,Driver,No,No,No
244,Female,31,26_to_39,Driver,No,No,No
245,Female,76,75_or_older,Driver,No,No,No
246,Male,78,75_or_older,Pedestrian,No,No,No
247,Male,20,17_to_25,Motorcycle rider,No,No,No
248,Male,9,0_to_16,Pedal cyclist,No,No,No
249,Male,15,0_to_16,Motorcycle rider,No,No,No
250,Male,37,26_to_39,Pedestrian,No,No,No
251,Male,30,26_to_39,Driver,No,No,No
252,Male,52,40_to_64,Pedestrian,No,No,No
253,Female,1,0_to_16,Pedestrian,No,No,No
254,Female,52,40_to_64,Driver,No,No,No
255,Female,93,75_or_older,Driver,No,No,No
256,Male,87,75_or_older,Driver,No,No,No
257,Male,37,26_to_39,Motorcycle rider,No,No,No
258,Male,31,26_to_39,Motorcycle rider,No,Yes,No
259,Male,34,26_to_39,Motorcycle rider,No,No,No
260,Male,53,40_to_64,Driver,No,No,No
261,Male,23,17_to_25,Motorcycle rider,Yes,No,No
262,Female,27,26_to_39,Driver,No,No,No
263,Female,65,65_to_74,Driver,No,No,No
264,Male,19,17_to_25,Passenger,No,No,No
265,Female,57,40_to_64,Passenger,No,No,No
266,Male,18,17_to_25,Passenger,No,No,No
267,Male,57,40_to_64,Driver,No,No,No
268,Male,72,65_to_74,Driver,No,No,No
269,Male,81,75_or_older,Driver,No,No,No
270,Female,83,75_or_older,Driver,No,No,No
271,Male,60,40_to_64,Driver,No,No,No
272,Male,66,65_to_74,Driver,No,No,No
273,Female,44,40_to_64,Driver,No,No,No
274,Male,21,17_to_25,Motorcycle rider,No,No,No
275,Female,79,75_or_older,Pedestrian,No,No,No
276,Male,17,17_to_25,Driver,No,No,No
277,Male,32,26_to_39,Motorcycle rider,No,No,No
278,Male,53,40_to_64,Driver,No,No,No
279,Male,74,65_to_74,Driver,No,No,No
280,Male,22,17_to_25,Motorcycle rider,No,No,No
281,Male,22,17_to_25,Motorcycle rider,No,No,No
282,Male,58,40_to_64,Driver,No,No,No
283,Male,23,17_to_25,Motorcycle rider,No,No,No
284,Female,74,65_to_74,Pedestrian,No,No,No
285,Male,32,26_to_39,Pedestrian,No,No,No
286,Male,41,40_to_64,Driver,No,No,No
287,Male,17,17_to_25,Driver,No,No,No
288,Male,53,40_to_64,Pedestrian,No,No,No
289,Female,22,17_to_25,Passenger,No,No,No
290,Male,22,17_to_25,Passenger,No,No,No
291,Male,51,40_to_64,Driver,No,No,No
292,Male,84,75_or_older,Passenger,No,No,No
293,Male,50,40_to_64,Motorcycle rider,No,No,No
294,Male,65,65_to_74,Driver,No,No,No
295,Female,59,40_to_64,Passenger,No,No,No
296,Male,25,17_to_25,Driver,No,No,No
297,Female,22,17_to_25,Driver,No,No,No
298,Male,56,40_to_64,Driver,No,No,No
299,Male,48,40_to_64,Driver,No,Yes,No
300,Male,21,17_to_25,Motorcycle rider,No,No,No
301,Male,38,26_to_39,Motorcycle rider,No,No,No
302,Female,35,26_to_39,Pedestrian,No,No,No
303,Male,37,26_to_39,Motorcycle rider,No,No,No
304,Male,60,40_to_64,Motorcycle rider,No,No,No
305,Female,56,40_to_64,Driver,No,No,No
306,Male,63,40_to_64,Motorcycle rider,No,No,Yes
307,Male,20,17_to_25,Driver,No,No,No
308,Male,81,75_or_older,Pedal cyclist,No,No,No
309,Female,80,75_or_older,Driver,No,No,No
310,Male,18,17_to_25,Driver,No,No,No
311,Male,36,26_to_39,Pedestrian,No,No,No
312,Male,57,40_to_64,Motorcycle rider,No,No,No
313,Male,28,26_to_39,Driver,No,Yes,No
314,Male,96,75_or_older,Driver,No,No,No
315,Male,63,40_to_64,Driver,No,No,No
316,Male,38,26_to_39,Motorcycle rider,No,No,No
317,Male,58,40_to_64,Motorcycle rider,No,No,No
318,Female,15,0_to_16,Pedestrian,No,No,No
319,Male,62,40_to_64,Driver,No,No,No
320,Male,62,40_to_64,Pedestrian,No,No,No
321,Male,39,26_to_39,Pedestrian,No,No,No
322,Male,23,17_to_25,Driver,No,No,No
323,Female,26,26_to_39,Passenger,No,No,No
324,Male,25,17_to_25,Passenger,No,No,No
325,Male,21,17_to_25,Driver,No,No,Yes
326,Male,50,40_to_64,Driver,No,No,No
327,Male,40,40_to_64,Driver,No,No,No
328,Male,57,40_to_64,Pedestrian,No,No,No
329,Male,44,40_to_64,Motorcycle rider,No,No,No
330,Male,64,40_to_64,Driver,No,No,No
331,Female,60,40_to_64,Passenger,No,No,No
332,Male,68,65_to_74,Driver,No,No,No
333,Male,23,17_to_25,Motorcycle rider,No,No,No
334,Female,54,40_to_64,Driver,No,Yes,Yes
335,Female,63,40_to_64,Pedestrian,No,No,No
336,Male,13,0_to_16,Pedestrian,No,No,No
337,Male,29,26_to_39,Motorcycle rider,No,No,No
338,Male,56,40_to_64,Pedestrian,No,No,No
339,Male,44,40_to_64,Driver,No,No,No
340,Male,17,17_to_25,Driver,No,No,No
341,Male,53,40_to_64,Driver,No,No,No
342,Female,23,17_to_25,Driver,No,No,No
343,Female,53,40_to_64,Driver,No,Yes,No
344,Male,56,40_to_64,Driver,No,Yes,No
345,Male,19,17_to_25,Driver,No,No,No
346,Male,78,75_or_older,Motorcycle rider,No,No,No
347,Male,70,65_to_74,Motorcycle rider,No,No,No
348,Male,42,40_to_64,Pedal cyclist,No,No,No
349,Male,31,26_to_39,Driver,No,No,No
350,Male,66,65_to_74,Pedestrian,No,No,No
351,Male,20,17_to_25,Motorcycle pillion passenger,No,No,No
352,Male,49,40_to_64,Pedestrian,No,No,No
353,Male,61,40_to_64,Pedestrian,No,No,No
354,Male,20,17_to_25,Motorcycle pillion passenger,No,No,No
355,Male,21,17_to_25,Motorcycle rider,No,No,No
356,Male,69,65_to_74,Motorcycle rider,No,No,No
357,Female,80,75_or_older,Driver,No,No,No
358,Female,68,65_to_74,Pedestrian,No,No,No
359,Male,52,40_to_64,Driver,No,No,No
360,Female,81,75_or_older,Passenger,No,No,No
361,Male,46,40_to_64,Driver,No,No,No
362,Male,37,26_to_39,Passenger,No,No,No
363,Male,6,0_to_16,Passenger,No,No,No
364,Male,23,17_to_25,Driver,No,No,No
365,Male,34,26_to_39,Motorcycle rider,No,No,No
366,Male,25,17_to_25,Driver,No,No,No
367,Male,21,17_to_25,Driver,No,No,No
368,Male,19,17_to_25,Motorcycle rider,No,No,No
369,Male,32,26_to_39,Motorcycle rider,No,No,No
370,Female,43,40_to_64,Pedestrian,No,No,No
371,Male,49,40_to_64,Pedal cyclist,No,No,No
372,Male,34,26_to_39,Motorcycle rider,No,No,No
373,Female,35,26_to_39,Passenger,No,No,No
374,Female,60,40_to_64,Passenger,No,No,No
375,Male,28,26_to_39,Passenger,No,No,No
376,Male,50,40_to_64,Driver,No,No,No
377,Male,73,65_to_74,Driver,No,No,No
378,Female,68,65_to_74,Pedal cyclist,No,Yes,No
379,Male,72,65_to_74,Driver,No,Yes,No
380,Male,78,75_or_older,Motorcycle rider,No,No,No
381,Male,79,75_or_older,Pedestrian,No,No,No
382,Female,37,26_to_39,Pedestrian,No,No,No
383,Female,37,26_to_39,Driver,No,No,No
384,Male,20,17_to_25,Driver,No,No,No
385,Male,29,26_to_39,Driver,No,No,Yes
386,Male,63,40_to_64,Driver,No,No,No
387,Male,35,26_to_39,Pedestrian,No,Yes,No
388,Male,69,65_to_74,Motorcycle rider,No,No,No
389,Male,52,40_to_64,Pedestrian,No,No,No
390,Male,27,26_to_39,Pedal cyclist,No,No,No
391,Male,22,17_to_25,Motorcycle rider,No,No,No
392,Male,75,75_or_older,Driver,No,No,No
393,Male,47,40_to_64,Motorcycle rider,No,No,No
394,Male,51,40_to_64,Motorcycle rider,No,No,No
395,Male,67,65_to_74,Pedestrian,No,Yes,No
396,Female,36,26_to_39,Passenger,No,No,Yes
397,Female,3,0_to_16,Passenger,No,No,No
398,Male,47,40_to_64,Driver,No,No,No
399,Male,70,65_to_74,Pedestrian,No,No,No
400,Male,38,26_to_39,Driver,No,No,No
401,Male,79,75_or_older,Driver,No,No,No
402,Male,24,17_to_25,Driver,No,No,No
403,Male,27,26_to_39,Passenger,No,No,No
404,Female,68,65_to_74,Passenger,No,No,No
405,Male,65,65_to_74,Driver,No,No,No
406,Male,30,26_to_39,Motorcycle rider,No,No,No
407,Male,31,26_to_39,Motorcycle rider,No,No,No
408,Male,28,26_to_39,Driver,No,Yes,No
409,Male,50,40_to_64,Pedestrian,No,No,No
410,Male,16,0_to_16,Passenger,No,No,No
411,Male,27,26_to_39,Motorcycle rider,No,No,No
412,Female,96,75_or_older,Pedestrian,No,No,No
413,Male,59,40_to_64,Driver,No,Yes,Yes
414,Male,55,40_to_64,Driver,No,No,Yes
415,Male,60,40_to_64,Driver,No,No,No
416,Male,80,75_or_older,Pedestrian,No,No,No
417,Male,57,40_to_64,Pedestrian,No,Yes,No
418,Male,54,40_to_64,Motorcycle rider,No,No,No
419,Male,43,40_to_64,Driver,No,No,No
420,Male,23,17_to_25,Driver,No,No,No
421,Male,59,40_to_64,Driver,No,No,No
422,Male,25,17_to_25,Driver,No,No,Yes
423,Male,63,40_to_64,Driver,No,No,Yes
424,Female,20,17_to_25,Pedestrian,No,No,No
425,Male,20,17_to_25,Driver,No,No,No
426,Male,34,26_to_39,Driver,No,No,No
427,Male,23,17_to_25,Motorcycle rider,No,No,No
428,Male,30,26_to_39,Motorcycle rider,No,No,No
429,Male,75,75_or_older,Driver,No,No,Yes
430,Male,71,65_to_74,Motorcycle rider,No,No,No
431,Male,78,75_or_older,Driver,No,No,No
432,Male,55,40_to_64,Driver,No,No,No
433,Male,61,40_to_64,Driver,No,No,No
434,Male,49,40_to_64,Motorcycle rider,No,No,No
435,Male,17,17_to_25,Motorcycle rider,No,No,No
436,Male,40,40_to_64,Driver,No,No,No
437,Male,18,17_to_25,Passenger,No,No,No
438,Male,16,0_to_16,Driver,No,No,No
439,Male,19,17_to_25,Passenger,No,No,No
440,Male,53,40_to_64,Pedestrian,No,Yes,No
441,Male,63,40_to_64,Pedal cyclist,No,No,No
442,Female,56,40_to_64,Pedal cyclist,No,No,No
443,Male,20,17_to_25,Passenger,No,No,No
444,Female,18,17_to_25,Passenger,No,No,No
445,Female,20,17_to_25,Passenger,No,No,No
446,Male,87,75_or_older,Driver,No,No,No
447,Female,55,40_to_64,Driver,No,No,No
448,Male,54,40_to_64,Passenger,No,No,No
449,Male,16,0_to_16,Motorcycle rider,No,No,No
450,Male,63,40_to_64,Pedal cyclist,No,No,No
451,Male,33,26_to_39,Driver,No,No,No
452,Male,67,65_to_74,Driver,No,No,No
453,Male,33,26_to_39,Driver,No,No,No
454,Male,69,65_to_74,Pedal cyclist,No,No,No
455,Male,56,40_to_64,Driver,No,No,No
456,Male,71,65_to_74,Driver,No,No,No
457,Male,67,65_to_74,Driver,No,No,Yes
458,Female,28,26_to_39,Driver,No,No,No
459,Male,3,0_to_16,Passenger,No,No,No
460,Male,59,40_to_64,Driver,No,Yes,No
461,Male,37,26_to_39,Motorcycle rider,No,No,No
462,Male,84,75_or_older,Driver,No,No,No
463,Male,51,40_to_64,Motorcycle rider,No,No,No
464,Female,85,75_or_older,Driver,No,No,No
465,Male,39,26_to_39,Driver,No,No,Yes
466,Male,67,65_to_74,Driver,No,No,Yes
467,Male,19,17_to_25,Motorcycle rider,No,No,No
468,Male,26,26_to_39,Motorcycle rider,No,No,No
469,Male,32,26_to_39,Driver,No,No,No
470,Female,64,40_to_64,Pedestrian,No,No,No
471,Male,73,65_to_74,Driver,No,No,No
472,Male,11,0_to_16,Pedal cyclist,Yes,No,No
473,Male,63,40_to_64,Driver,No,No,No
474,Male,17,17_to_25,Motorcycle rider,No,No,No
475,Male,83,75_or_older,Pedestrian,No,No,No
476,Male,25,17_to_25,Motorcycle rider,No,No,No
477,Male,28,26_to_39,Driver,No,No,No
478,Male,57,40_to_64,Motorcycle rider,No,No,Yes
479,Male,33,26_to_39,Driver,No,No,No
480,Male,60,40_to_64,Passenger,No,No,Yes
481,Male,67,65_to_74,Driver,No,No,Yes
482,Male,59,40_to_64,Driver,No,No,No
483,Male,17,17_to_25,Passenger,No,No,No
484,Male,29,26_to_39,Driver,No,No,No
485,Male,32,26_to_39,Driver,No,No,Yes
486,Female,72,65_to_74,Driver,No,No,No
487,Male,19,17_to_25,Passenger,No,No,No
488,Male,47,40_to_64,Driver,No,No,Yes
489,Male,82,75_or_older,Passenger,No,No,No
490,Female,17,17_to_25,Passenger,No,No,No
491,Male,18,17_to_25,Driver,No,No,No
492,Male,80,75_or_older,Driver,No,No,No
493,Male,18,17_to_25,Driver,No,Yes,No
494,Male,18,17_to_25,Driver,No,No,No
495,Female,26,26_to_39,Motorcycle rider,No,No,No
496,Male,73,65_to_74,Driver,No,No,No
497,Female,33,26_to_39,Driver,No,No,No
498,Male,0,0_to_16,Passenger,No,No,No
499,Male,18,17_to_25,Driver,No,No,No
500,Male,20,17_to_25,Motorcycle rider,No,No,No
501,Male,58,40_to_64,Driver,No,No,No
502,Male,61,40_to_64,Pedestrian,No,No,No
503,Male,80,75_or_older,Pedestrian,No,No,No
504,Male,22,17_to_25,Motorcycle rider,No,No,No
505,Male,30,26_to_39,Pedestrian,No,No,No
506,Female,29,26_to_39,Pedestrian,No,No,No
507,Male,44,40_to_64,Pedestrian,Yes,No,No
508,Female,24,17_to_25,Passenger,No,No,No
509,Female,85,75_or_older,Driver,No,No,No
510,Male,47,40_to_64,Driver,No,No,No
511,Male,84,75_or_older,Driver,No,No,No
512,Female,15,0_to_16,Passenger,No,No,No
513,Male,54,40_to_64,Driver,No,No,No
514,Male,8,0_to_16,Passenger,No,No,No
515,Female,81,75_or_older,Pedestrian,No,No,No
516,Male,36,26_to_39,Motorcycle rider,No,No,No
517,Male,83,75_or_older,Pedestrian,No,No,No
518,Male,63,40_to_64,Passenger,No,No,No
519,Male,85,75_or_older,Driver,No,No,No
520,Male,46,40_to_64,Driver,No,No,No
521,Male,19,17_to_25,Driver,No,Yes,Yes
522,Female,76,75_or_older,Driver,No,No,No
523,Male,44,40_to_64,Driver,No,No,No
524,Male,55,40_to_64,Motorcycle rider,No,No,No
525,Male,73,65_to_74,Driver,No,No,No
526,Male,57,40_to_64,Motorcycle rider,No,No,No
527,Male,49,40_to_64,Passenger,No,No,No
528,Male,57,40_to_64,Pedal cyclist,No,No,No
529,Male,29,26_to_39,Motorcycle rider,No,No,No
530,Male,72,65_to_74,Driver,No,No,No
531,Male,64,40_to_64,Driver,No,No,No
532,Male,81,75_or_older,Pedestrian,No,No,No
533,Female,33,26_to_39,Passenger,Yes,No,No
534,Female,56,40_to_64,Passenger,Yes,No,No
535,Female,21,17_to_25,Passenger,Yes,No,No
536,Male,35,26_to_39,Motorcycle rider,No,No,No
537,Male,63,40_to_64,Motorcycle rider,No,No,No
538,Female,68,65_to_74,Driver,No,No,Yes
539,Male,30,26_to_39,Driver,No,No,No
540,Male,66,65_to_74,Motorcycle rider,No,No,No
541,Male,54,40_to_64,Pedal cyclist,No,No,No
542,Female,81,75_or_older,Passenger,No,No,No
543,Male,68,65_to_74,Driver,No,No,No
544,Male,45,40_to_64,Driver,No,No,No
545,Male,78,75_or_older,Pedestrian,No,No,No
546,Male,27,26_to_39,Pedestrian,No,No,No
547,Male,68,65_to_74,Motorcycle rider,No,No,No
548,Male,36,26_to_39,Motorcycle rider,No,No,No
549,Male,22,17_to_25,Motorcycle rider,No,No,No
550,Male,51,40_to_64,Driver,No,No,No
551,Male,27,26_to_39,Driver,No,No,Yes
