Crash ID,SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,National Road Type
20241115,Riverina,Wagga Wagga,Inner Regional Australia,Arterial Road
20241125,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Inner Regional Australia,Local Road
20246013,Launceston and North East,Northern Midlands,Inner Regional Australia,Local Road
20241002,New England and North West,Armidale,Outer Regional Australia,National or State Highway
20243185,Toowoomba,Lockyer Valley,Inner Regional Australia,National or State Highway
20244016,Barossa - Yorke - Mid North,Wakefield,Outer Regional Australia,Sub-arterial Road
20243168,Darling Downs - Maranoa,Southern Downs,Inner Regional Australia,Local Road
20246003,Hobart,Brighton,Inner Regional Australia,Local Road
20246001,Launceston and North East,West Tamar,Outer Regional Australia,National or State Highway
20244081,South Australia - South East,Mid Murray,Outer Regional Australia,Local Road
20241087,Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia,National or State Highway
20241054,Capital Region,Upper Lachlan,Inner Regional Australia,National or State Highway
20244042,South Australia - South East,Wattle Range,Outer Regional Australia,Local Road
20243246,Cairns,Cairns,Outer Regional Australia,Collector Road
20241101,Illawarra,Wollongong,Major Cities of Australia,National or State Highway
20241216,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Collector Road
20241300,Hunter Valley exc Newcastle,Upper Hunter,Outer Regional Australia,National or State Highway
20243007,Wide Bay,South Burnett,Outer Regional Australia,National or State Highway
20241278,Central West,Mid-Western,Outer Regional Australia,Arterial Road
20241149,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Collector Road
20241068,Murray,Greater Hume,Outer Regional Australia,National or State Highway
20243273,Darling Downs - Maranoa,Southern Downs,Outer Regional Australia,Local Road
20244020,Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,Sub-arterial Road
20244055,South Australia - South East,Wattle Range,Outer Regional Australia,National or State Highway
20241094,Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,National or State Highway
20243160,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,National or State Highway
20243209,Cairns,Douglas,Outer Regional Australia,Local Road
20244001,South Australia - South East,Yankalilla,Inner Regional Australia,Arterial Road
20243243,Logan - Beaudesert,Logan,Major Cities of Australia,Sub-arterial Road
20246016,Launceston and North East,Dorset,Outer Regional Australia,National or State Highway
20241119,New England and North West,Armidale,Inner Regional Australia,Local Road
20241169,Mid North Coast,Nambucca Valley,Inner Regional Australia,National or State Highway
20241291,Far West and Orana,Narromine,Outer Regional Australia,National or State Highway
20243036,Wide Bay,Fraser Coast,Inner Regional Australia,Local Road
20244026,South Australia - Outback,Unincorporated SA,Very Remote Australia,Local Road
20241077,Illawarra,Shellharbour,Major Cities of Australia,Collector Road
20241028,Illawarra,Wollongong,Major Cities of Australia,Collector Road
20241022,New England and North West,Narrabri,Outer Regional Australia,Sub-arterial Road
20243015,Logan - Beaudesert,Logan,Inner Regional Australia,Local Road
20244023,Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,Sub-arterial Road
20241098,Mid North Coast,Nambucca Valley,Inner Regional Australia,Sub-arterial Road
20243114,Queensland - Outback,Cook,Remote Australia,Sub-arterial Road
20241040,New England and North West,Tenterfield,Outer Regional Australia,National or State Highway
20241174,Central Coast,Central Coast (NSW),Major Cities of Australia,Arterial Road
20241088,New England and North West,Tamworth,Outer Regional Australia,Arterial Road
20241255,Capital Region,Hilltops,Inner Regional Australia,Arterial Road
20241053,Central West,Forbes,Outer Regional Australia,Arterial Road
20243046,Toowoomba,Toowoomba,Inner Regional Australia,Collector Road
20241080,Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,Arterial Road
20243044,Central Queensland,Livingstone,Remote Australia,National or State Highway
20241274,Sydney - Blacktown,Blacktown,Major Cities of Australia,National or State Highway
20243176,Cairns,Cairns,Outer Regional Australia,Collector Road
20241181,Murray,Balranald,Outer Regional Australia,National or State Highway
20243110,Queensland - Outback,Lockhart River,Very Remote Australia,Local Road
20244044,Barossa - Yorke - Mid North,Light,Inner Regional Australia,Sub-arterial Road
20243147,Cairns,Cassowary Coast,Outer Regional Australia,National or State Highway
20244019,South Australia - Outback,Tumby Bay,Remote Australia,Collector Road
20241194,Sydney - South West,Liverpool,Major Cities of Australia,Arterial Road
20241139,Sydney - Parramatta,Cumberland,Major Cities of Australia,Local Road
20241197,Hunter Valley exc Newcastle,Muswellbrook,Inner Regional Australia,National or State Highway
20243220,Cairns,Cassowary Coast,Outer Regional Australia,Collector Road
20243267,Moreton Bay - North,Moreton Bay,Inner Regional Australia,National or State Highway
20241057,Richmond - Tweed,Ballina,Inner Regional Australia,National or State Highway
20243174,Logan - Beaudesert,Logan,Inner Regional Australia,National or State Highway
20241166,Richmond - Tweed,Kyogle,Inner Regional Australia,Sub-arterial Road
20243213,Wide Bay,Bundaberg,Inner Regional Australia,National or State Highway
20241096,New England and North West,Tenterfield,Outer Regional Australia,National or State Highway
20242089,Melbourne - Inner,Melbourne,Major Cities of Australia,Arterial Road
20243073,Brisbane - South,Brisbane,Major Cities of Australia,Sub-arterial Road
20241027,Riverina,Snowy Valleys,Outer Regional Australia,National or State Highway
20241163,New England and North West,Tamworth,Outer Regional Australia,Sub-arterial Road
20243143,Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,Local Road
20241222,Sydney - South West,Fairfield,Major Cities of Australia,National or State Highway
20241218,Capital Region,Yass Valley,Inner Regional Australia,National or State Highway
20243249,Central Queensland,Central Highlands (Qld),Remote Australia,Collector Road
20243098,Wide Bay,Bundaberg,Inner Regional Australia,Sub-arterial Road
20241306,Sydney - Baulkham Hills and Hawkesbury,The Hills,Major Cities of Australia,Collector Road
20243037,Cairns,Cairns,Outer Regional Australia,Local Road
20244083,Adelaide - North,Salisbury,Major Cities of Australia,Local Road
20241196,Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,Sub-arterial Road
20244028,South Australia - South East,Yankalilla,Inner Regional Australia,Arterial Road
20243038,Darling Downs - Maranoa,Southern Downs,Inner Regional Australia,Local Road
20242023,Melbourne - North West,Macedon Ranges,Inner Regional Australia,Sub-arterial Road
20242230,Warrnambool and South West,Moyne,Inner Regional Australia,Arterial Road
20242127,Melbourne - South East,Cardinia,Major Cities of Australia,Collector Road
20242120,Latrobe - Gippsland,East Gippsland,Outer Regional Australia,Arterial Road
20241106,Richmond - Tweed,Ballina,Inner Regional Australia,Sub-arterial Road
20241230,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Major Cities of Australia,Arterial Road
20241055,Central Coast,Central Coast (NSW),Major Cities of Australia,Local Road
20241267,Hunter Valley exc Newcastle,Muswellbrook,Inner Regional Australia,Local Road
20242260,Melbourne - North East,Whittlesea,Major Cities of Australia,Arterial Road
20242057,Melbourne - North West,Macedon Ranges,Inner Regional Australia,Arterial Road
20243153,Queensland - Outback,Mareeba,Very Remote Australia,Sub-arterial Road
20242161,Melbourne - North East,Whittlesea,Major Cities of Australia,Sub-arterial Road
20241236,Mid North Coast,Mid-Coast,Inner Regional Australia,Arterial Road
20243172,Central Queensland,Rockhampton,Inner Regional Australia,Pedestrian Thoroughfare
20241188,Mid North Coast,Mid-Coast,Inner Regional Australia,National or State Highway
20243191,Ipswich,Ipswich,Inner Regional Australia,Sub-arterial Road
20241256,Hunter Valley exc Newcastle,Muswellbrook,Inner Regional Australia,Arterial Road
20242019,Warrnambool and South West,Glenelg,Outer Regional Australia,National or State Highway
20243008,Wide Bay,Bundaberg,Inner Regional Australia,Collector Road
20243001,Cairns,Douglas,Outer Regional Australia,National or State Highway
20243041,Darling Downs - Maranoa,Western Downs,Outer Regional Australia,Sub-arterial Road
20244021,Adelaide - West,Port Adelaide Enfield,Major Cities of Australia,Arterial Road
20243113,Brisbane - South,Brisbane,Major Cities of Australia,Local Road
20241107,Central West,Cabonne,Outer Regional Australia,Arterial Road
20243022,Gold Coast,Gold Coast,Major Cities of Australia,Collector Road
20248002,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Arterial Road
20242088,Mornington Peninsula,Frankston,Major Cities of Australia,Sub-arterial Road
20241173,New England and North West,Moree Plains,Outer Regional Australia,National or State Highway
20241004,Sydney - Parramatta,Parramatta,Major Cities of Australia,Local Road
20246004,Launceston and North East,Meander Valley,Outer Regional Australia,National or State Highway
20241201,Capital Region,Queanbeyan-Palerang,Major Cities of Australia,Local Road
20241029,Capital Region,Snowy Monaro,Outer Regional Australia,National or State Highway
20243005,Wide Bay,Bundaberg,Inner Regional Australia,National or State Highway
20241261,Illawarra,Wollongong,Major Cities of Australia,National or State Highway
20244024,Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,Local Road
20241215,Murray,Federation,Outer Regional Australia,National or State Highway
20243186,Toowoomba,Toowoomba,Inner Regional Australia,Local Road
20243208,Brisbane Inner City,Brisbane,Major Cities of Australia,Sub-arterial Road
20241134,Sydney - Blacktown,Blacktown,Major Cities of Australia,Arterial Road
20243040,Darling Downs - Maranoa,Southern Downs,Inner Regional Australia,National or State Highway
20241263,Central West,Cowra,Inner Regional Australia,Local Road
20241302,Capital Region,Goulburn Mulwaree,Inner Regional Australia,National or State Highway
20241147,Sydney - Baulkham Hills and Hawkesbury,The Hills,Major Cities of Australia,Collector Road
20243248,Moreton Bay - South,Moreton Bay,Major Cities of Australia,Local Road
20243096,Wide Bay,Gympie,Inner Regional Australia,Local Road
20241150,Sydney - North Sydney and Hornsby,Willoughby,Major Cities of Australia,Arterial Road
20241247,Capital Region,Shoalhaven,Inner Regional Australia,National or State Highway
20241234,Capital Region,Queanbeyan-Palerang,Inner Regional Australia,Arterial Road
20242110,Bendigo,Greater Bendigo,Inner Regional Australia,National or State Highway
20242052,Melbourne - North East,Nillumbik,Inner Regional Australia,Arterial Road
20243247,Darling Downs - Maranoa,Western Downs,Outer Regional Australia,Sub-arterial Road
20243144,Central Queensland,Rockhampton,Inner Regional Australia,National or State Highway
20241235,Illawarra,Wollongong,Inner Regional Australia,Arterial Road
20243087,Wide Bay,South Burnett,Inner Regional Australia,Collector Road
20244061,South Australia - South East,Tatiara,Remote Australia,National or State Highway
20241009,Richmond - Tweed,Tweed,Inner Regional Australia,Arterial Road
20241072,Mid North Coast,Mid-Coast,Outer Regional Australia,Sub-arterial Road
20243129,Ipswich,Ipswich,Major Cities of Australia,National or State Highway
20242219,North West,Ararat,Inner Regional Australia,National or State Highway
20241219,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Inner Regional Australia,Arterial Road
20244010,Barossa - Yorke - Mid North,Light,Inner Regional Australia,Arterial Road
20244040,Adelaide - North,Salisbury,Major Cities of Australia,Collector Road
20243171,Cairns,Cairns,Outer Regional Australia,National or State Highway
20242075,Warrnambool and South West,Colac Otway,Inner Regional Australia,Arterial Road
20243079,Queensland - Outback,McKinlay,Very Remote Australia,Sub-arterial Road
20241045,Hunter Valley exc Newcastle,Singleton,Inner Regional Australia,Local Road
20243017,Central Queensland,Gladstone,Outer Regional Australia,National or State Highway
20241160,Riverina,Wagga Wagga,Inner Regional Australia,Sub-arterial Road
20241081,Central West,Lithgow,Inner Regional Australia,National or State Highway
20241135,New England and North West,Moree Plains,Outer Regional Australia,National or State Highway
20241209,Sydney - Outer South West,Campbelltown (NSW),Major Cities of Australia,National or State Highway
20242140,Warrnambool and South West,Moyne,Inner Regional Australia,National or State Highway
20242142,Melbourne - North West,Macedon Ranges,Inner Regional Australia,Sub-arterial Road
20243107,Cairns,Cairns,Outer Regional Australia,Sub-arterial Road
20243020,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Local Road
20241151,Far West and Orana,Warrumbungle,Outer Regional Australia,Local Road
20243158,Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,National or State Highway
20241286,Hunter Valley exc Newcastle,Upper Hunter,Outer Regional Australia,Arterial Road
20243102,Sunshine Coast,Noosa,Major Cities of Australia,Sub-arterial Road
20241303,Newcastle and Lake Macquarie,Port Stephens,Major Cities of Australia,Arterial Road
20246029,Launceston and North East,West Tamar,Outer Regional Australia,National or State Highway
20248005,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Arterial Road
20244018,Adelaide - North,Gawler,Major Cities of Australia,Collector Road
20241060,Mid North Coast,Mid-Coast,Inner Regional Australia,Arterial Road
20242022,Hume,Alpine,Inner Regional Australia,Local Road
20241037,Central Coast,Central Coast (NSW),Major Cities of Australia,Arterial Road
20241257,Central West,Cabonne,Inner Regional Australia,Local Road
20241128,Sydney - Blacktown,Blacktown,Major Cities of Australia,National or State Highway
20243089,Ipswich,Brisbane,Major Cities of Australia,Collector Road
20242181,Latrobe - Gippsland,Baw Baw,Inner Regional Australia,Local Road
20243082,Mackay - Isaac - Whitsunday,Isaac,Remote Australia,National or State Highway
20243150,Sunshine Coast,Sunshine Coast,Major Cities of Australia,National or State Highway
20243170,Brisbane - South,Brisbane,Major Cities of Australia,Sub-arterial Road
20243239,Darling Downs - Maranoa,Maranoa,Remote Australia,National or State Highway
20242040,Warrnambool and South West,Southern Grampians,Outer Regional Australia,National or State Highway
20243084,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Sub-arterial Road
20241030,Hunter Valley exc Newcastle,Cessnock,Inner Regional Australia,Arterial Road
20243127,Logan - Beaudesert,Scenic Rim,Inner Regional Australia,National or State Highway
20243003,Ipswich,Somerset,Inner Regional Australia,Local Road
20243266,Townsville,Hinchinbrook,Remote Australia,Access road
20241042,Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia,National or State Highway
20243121,Logan - Beaudesert,Scenic Rim,Inner Regional Australia,Sub-arterial Road
20241175,Illawarra,Wollongong,Major Cities of Australia,Collector Road
20243072,Mackay - Isaac - Whitsunday,Mackay,Inner Regional Australia,Collector Road
20244057,Adelaide - North,Playford,Major Cities of Australia,National or State Highway
20241091,Far West and Orana,Cobar,Very Remote Australia,National or State Highway
20243201,Wide Bay,South Burnett,Outer Regional Australia,Local Road
20242135,North West,Ararat,Outer Regional Australia,National or State Highway
20243225,Ipswich,Somerset,Inner Regional Australia,Sub-arterial Road
20241167,Sydney - Outer South West,Campbelltown (NSW),Major Cities of Australia,Collector Road
20244060,Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia,Sub-arterial Road
20241268,Capital Region,Bega Valley,Outer Regional Australia,National or State Highway
20244013,Adelaide - North,Tea Tree Gully,Major Cities of Australia,Sub-arterial Road
20243235,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Local Road
20244059,South Australia - South East,Wattle Range,Outer Regional Australia,National or State Highway
20241266,Illawarra,Kiama,Inner Regional Australia,Arterial Road
20243131,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Sub-arterial Road
20242080,Warrnambool and South West,Moyne,Outer Regional Australia,Local Road
20241287,Sydney - Outer South West,Wollondilly,Inner Regional Australia,Arterial Road
20241152,Mid North Coast,Mid-Coast,Inner Regional Australia,National or State Highway
20243161,Ipswich,Scenic Rim,Inner Regional Australia,Sub-arterial Road
20242042,Melbourne - South East,Casey,Major Cities of Australia,Arterial Road
20243210,Central Queensland,Gladstone,Outer Regional Australia,Collector Road
20244025,Barossa - Yorke - Mid North,Northern Areas,Outer Regional Australia,Arterial Road
20243088,Cairns,Tablelands,Outer Regional Australia,Sub-arterial Road
20241211,Sydney - City and Inner South,Sydney,Major Cities of Australia,National or State Highway
20242007,Hume,Murrindindi,Inner Regional Australia,National or State Highway
20241204,Illawarra,Wollongong,Major Cities of Australia,National or State Highway
20244062,Adelaide - West,Port Adelaide Enfield,Major Cities of Australia,Local Road
20241137,Murray,Albury,Inner Regional Australia,National or State Highway
20243117,Gold Coast,Gold Coast,Major Cities of Australia,Sub-arterial Road
20242081,Melbourne - Inner East,Boroondara,Major Cities of Australia,Arterial Road
20243206,Brisbane - East,Redland,Major Cities of Australia,Sub-arterial Road
20248003,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Collector Road
20244032,Adelaide - North,Playford,Inner Regional Australia,Collector Road
20241153,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Collector Road
20242138,Latrobe - Gippsland,South Gippsland,Inner Regional Australia,National or State Highway
20243198,Townsville,Hinchinbrook,Outer Regional Australia,Local Road
20242107,Melbourne - Inner East,Boroondara,Major Cities of Australia,Local Road
20243080,Wide Bay,Fraser Coast,Inner Regional Australia,Collector Road
20242204,Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,Sub-arterial Road
20242139,Warrnambool and South West,Colac Otway,Inner Regional Australia,Access road
20241103,Capital Region,Bega Valley,Outer Regional Australia,Arterial Road
20242129,Geelong,Surf Coast,Inner Regional Australia,Local Road
20244027,Adelaide - Central and Hills,Mount Barker,Inner Regional Australia,Arterial Road
20243006,Brisbane - East,Brisbane,Major Cities of Australia,Sub-arterial Road
20243108,Wide Bay,Bundaberg,Inner Regional Australia,Sub-arterial Road
20243212,Gold Coast,Gold Coast,Major Cities of Australia,Collector Road
20241237,Hunter Valley exc Newcastle,Cessnock,Major Cities of Australia,Local Road
20241052,Hunter Valley exc Newcastle,Maitland,Inner Regional Australia,National or State Highway
20241308,Murray,Federation,Outer Regional Australia,Sub-arterial Road
20246027,Hobart,Hobart,Inner Regional Australia,Local Road
20244072,Adelaide - South,Mitcham,Major Cities of Australia,Collector Road
20241195,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,Sub-arterial Road
20244043,Adelaide - Central and Hills,Adelaide,Major Cities of Australia,Sub-arterial Road
20241102,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Arterial Road
20243194,Brisbane - South,Brisbane,Major Cities of Australia,National or State Highway
20243070,Brisbane - South,Brisbane,Major Cities of Australia,National or State Highway
20243165,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Local Road
20241063,Central Coast,Central Coast (NSW),Major Cities of Australia,Arterial Road
20241132,Illawarra,Wollongong,Major Cities of Australia,National or State Highway
20241292,Central Coast,Central Coast (NSW),Major Cities of Australia,Arterial Road
20241189,Richmond - Tweed,Lismore,Inner Regional Australia,Local Road
20241233,Far West and Orana,Narromine,Outer Regional Australia,National or State Highway
20242115,Shepparton,Greater Shepparton,Inner Regional Australia,Sub-arterial Road
20242167,Melbourne - North West,Merri-bek,Major Cities of Australia,Sub-arterial Road
20241016,Riverina,Narrandera,Outer Regional Australia,Local Road
20243234,Logan - Beaudesert,Logan,Major Cities of Australia,Local Road
20246025,South East,Huon Valley,Outer Regional Australia,Sub-arterial Road
20241220,Hunter Valley exc Newcastle,Cessnock,Inner Regional Australia,Sub-arterial Road
20241034,Riverina,Griffith,Outer Regional Australia,Local Road
20242012,Hume,Wodonga,Inner Regional Australia,Local Road
20243009,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Access road
20241269,Hunter Valley exc Newcastle,Mid-Coast,Inner Regional Australia,Arterial Road
20242093,Melbourne - Inner,Darebin,Major Cities of Australia,Local Road
20242176,Hume,Murrindindi,Inner Regional Australia,Sub-arterial Road
20242255,Ballarat,Ballarat,Inner Regional Australia,Sub-arterial Road
20241066,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Local Road
20242175,Melbourne - South East,Cardinia,Inner Regional Australia,Access road
20243207,Central Queensland,Rockhampton,Inner Regional Australia,Local Road
20242029,Melbourne - Outer East,Maroondah,Major Cities of Australia,Local Road
20241246,Murray,Albury,Inner Regional Australia,Arterial Road
20241078,Richmond - Tweed,Tweed,Major Cities of Australia,Local Road
20243064,Wide Bay,North Burnett,Outer Regional Australia,National or State Highway
20241013,New England and North West,Moree Plains,Remote Australia,Sub-arterial Road
20246019,South East,Huon Valley,Outer Regional Australia,National or State Highway
20242257,Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Collector Road
20241138,Sydney - South West,Fairfield,Major Cities of Australia,Local Road
20244014,Adelaide - Central and Hills,Unley,Major Cities of Australia,Sub-arterial Road
20244069,South Australia - South East,Alexandrina,Inner Regional Australia,Arterial Road
20242053,Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,Arterial Road
20243111,Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,National or State Highway
20243067,Wide Bay,Gympie,Outer Regional Australia,Local Road
20242186,Melbourne - West,Melton,Major Cities of Australia,National or State Highway
20242250,Mornington Peninsula,Frankston,Major Cities of Australia,Local Road
20243167,Townsville,Burdekin,Outer Regional Australia,National or State Highway
20243106,Brisbane - South,Brisbane,Major Cities of Australia,Sub-arterial Road
20242098,Melbourne - Outer East,Knox,Major Cities of Australia,Local Road
20241179,Mid North Coast,Mid-Coast,Inner Regional Australia,Sub-arterial Road
20242070,Melbourne - North East,Whittlesea,Inner Regional Australia,Arterial Road
20243261,Queensland - Outback,Mareeba,Very Remote Australia,Local Road
20243227,Darling Downs - Maranoa,Western Downs,Outer Regional Australia,Local Road
20242243,Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,Local Road
20242102,Melbourne - South East,Monash,Major Cities of Australia,Arterial Road
20241109,Far West and Orana,Unincorporated NSW,Very Remote Australia,National or State Highway
20243187,Wide Bay,South Burnett,Inner Regional Australia,Local Road
20241301,Sydney - Blacktown,Blacktown,Major Cities of Australia,Local Road
20243135,Darling Downs - Maranoa,Western Downs,Outer Regional Australia,Local Road
20241248,Sydney - Parramatta,Cumberland,Major Cities of Australia,Collector Road
20243268,Queensland - Outback,Barcaldine,Very Remote Australia,Local Road
20242071,Melbourne - West,Wyndham,Major Cities of Australia,Arterial Road
20241020,New England and North West,Glen Innes Severn,Outer Regional Australia,National or State Highway
20241294,Richmond - Tweed,Lismore,Inner Regional Australia,National or State Highway
20241304,Richmond - Tweed,Ballina,Inner Regional Australia,Sub-arterial Road
20242123,Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,National or State Highway
20242144,Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,Local Road
20241199,Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia,Arterial Road
20243066,Townsville,Townsville,Outer Regional Australia,Local Road
20243233,Central Queensland,Gladstone,Outer Regional Australia,National or State Highway
20243203,Central Queensland,Livingstone,Outer Regional Australia,National or State Highway
20242209,Shepparton,Greater Shepparton,Inner Regional Australia,Arterial Road
20242056,Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,Sub-arterial Road
20242130,Ballarat,Golden Plains,Inner Regional Australia,Arterial Road
20243109,Cairns,Cassowary Coast,Outer Regional Australia,National or State Highway
20243010,Queensland - Outback,Cook,Very Remote Australia,Sub-arterial Road
20243181,Ipswich,Ipswich,Major Cities of Australia,Sub-arterial Road
20246018,Hobart,Clarence,Inner Regional Australia,Arterial Road
20241071,Sydney - Inner South West,Georges River,Major Cities of Australia,Arterial Road
20241186,Central West,Lithgow,Inner Regional Australia,National or State Highway
20243078,Logan - Beaudesert,Logan,Major Cities of Australia,Local Road
20241223,Illawarra,Wollongong,Major Cities of Australia,National or State Highway
20241221,Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,Arterial Road
20241143,Murray,Greater Hume,Inner Regional Australia,Arterial Road
20243242,Darling Downs - Maranoa,Western Downs,Outer Regional Australia,Sub-arterial Road
20242189,Melbourne - South East,Kingston (Vic.),Major Cities of Australia,Local Road
20242170,Melbourne - Inner East,Manningham,Major Cities of Australia,Arterial Road
20243043,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Sub-arterial Road
20241140,Central West,Bathurst,Inner Regional Australia,National or State Highway
20244063,South Australia - Outback,Wudinna,Remote Australia,National or State Highway
20241131,New England and North West,Inverell,Outer Regional Australia,Arterial Road
20242172,Melbourne - West,Brimbank,Major Cities of Australia,Arterial Road
20241111,Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,Arterial Road
20242055,Melbourne - North East,Darebin,Major Cities of Australia,Collector Road
20241017,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Local Road
20244067,Adelaide - West,Charles Sturt,Major Cities of Australia,Collector Road
20246024,Launceston and North East,Flinders (Tas.),Very Remote Australia,Arterial Road
20241254,Mid North Coast,Mid-Coast,Inner Regional Australia,Sub-arterial Road
20243011,Ipswich,Scenic Rim,Inner Regional Australia,Collector Road
20246011,West and North West,Burnie,Outer Regional Australia,Arterial Road
20242177,Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Pedestrian Thoroughfare
20241127,New England and North West,Armidale,Outer Regional Australia,Access road
20241210,New England and North West,Tamworth,Outer Regional Australia,Arterial Road
20242132,Shepparton,Greater Shepparton,Inner Regional Australia,Sub-arterial Road
20242184,Ballarat,Ballarat,Inner Regional Australia,Arterial Road
20241253,Far West and Orana,Dubbo,Inner Regional Australia,Sub-arterial Road
20243024,Sunshine Coast,Sunshine Coast,Major Cities of Australia,National or State Highway
20242224,Melbourne - West,Melton,Major Cities of Australia,Local Road
20243031,Gold Coast,Gold Coast,Major Cities of Australia,Local Road
20242069,Melbourne - North East,Darebin,Major Cities of Australia,Local Road
20243156,Ipswich,Ipswich,Major Cities of Australia,Local Road
20242251,Geelong,Greater Geelong,Major Cities of Australia,Sub-arterial Road
20244034,Adelaide - Central and Hills,Adelaide Hills,Major Cities of Australia,Collector Road
20242090,Melbourne - South East,Cardinia,Major Cities of Australia,National or State Highway
20243231,Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,Sub-arterial Road
20242194,Hume,Mitchell,Inner Regional Australia,Collector Road
20243142,Wide Bay,North Burnett,Outer Regional Australia,National or State Highway
20242043,Melbourne - West,Wyndham,Major Cities of Australia,Local Road
20243124,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,National or State Highway
20244007,Adelaide - South,Onkaparinga,Inner Regional Australia,Collector Road
20242060,Melbourne - Inner South,Stonnington,Major Cities of Australia,Sub-arterial Road
20243104,Cairns,Douglas,Outer Regional Australia,Local Road
20244041,South Australia - Outback,Unincorporated SA,Very Remote Australia,National or State Highway
20246026,Launceston and North East,Launceston,Outer Regional Australia,Collector Road
20243021,Central Queensland,Gladstone,Outer Regional Australia,National or State Highway
20242155,Hume,Indigo,Inner Regional Australia,National or State Highway
20242032,Melbourne - Inner,Yarra,Major Cities of Australia,Arterial Road
20241285,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Arterial Road
20244066,Barossa - Yorke - Mid North,Wakefield,Outer Regional Australia,Sub-arterial Road
20242064,Melbourne - Inner,Port Phillip,Major Cities of Australia,Collector Road
20242164,Melbourne - South East,Cardinia,Major Cities of Australia,Arterial Road
20244035,South Australia - South East,Yankalilla,Inner Regional Australia,Arterial Road
20243018,Logan - Beaudesert,Logan,Major Cities of Australia,Sub-arterial Road
20242086,Mornington Peninsula,Frankston,Major Cities of Australia,Arterial Road
20243217,Cairns,Cassowary Coast,Outer Regional Australia,Sub-arterial Road
20243251,Ipswich,Scenic Rim,Inner Regional Australia,National or State Highway
20243058,Central Queensland,Gladstone,Outer Regional Australia,Sub-arterial Road
20244046,South Australia - South East,Yankalilla,Inner Regional Australia,Arterial Road
20243085,Central Queensland,Rockhampton,Inner Regional Australia,Local Road
20244039,Barossa - Yorke - Mid North,Light,Inner Regional Australia,Sub-arterial Road
20243240,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,Sub-arterial Road
20246002,West and North West,Waratah-Wynyard,Outer Regional Australia,National or State Highway
20242099,Shepparton,Campaspe,Inner Regional Australia,National or State Highway
20243063,Logan - Beaudesert,Logan,Major Cities of Australia,Collector Road
20241176,Illawarra,Wollongong,Major Cities of Australia,National or State Highway
20247022,Northern Territory - Outback,Barkly,Very Remote Australia,National or State Highway
20241086,Newcastle and Lake Macquarie,Port Stephens,Major Cities of Australia,Arterial Road
20241224,Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,Sub-arterial Road
20241265,Sydney - Parramatta,Blacktown,Major Cities of Australia,National or State Highway
